parent_dir,primary_bin,media_type,old_name,created_year,created_month,created_day,created_hour,created_minute,created_second,parsed_year,parsed_month,parsed_day,parsed_counter,pre_name,post_name,descriptor,day_match,ext,new_name,old_path,new_path
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-23.jpg,2016,2,13,16,36,50,2016,2,16,23,Disneyland-2016-02|16,23.jpg,,,.jpg,Disneyland-2016-02-13 16.36.50.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-23.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.36.50.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-22.jpg,2016,2,13,16,8,24,2016,2,16,22,Disneyland-2016-02|16,22.jpg,,,.jpg,Disneyland-2016-02-13 16.08.24.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-22.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.08.24.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-20.jpg,2016,2,13,16,4,56,2016,2,16,20,Disneyland-2016-02|16,20.jpg,,,.jpg,Disneyland-2016-02-13 16.04.56.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-20.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.04.56.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-21.jpg,2016,2,13,16,8,15,2016,2,16,21,Disneyland-2016-02|16,21.jpg,,,.jpg,Disneyland-2016-02-13 16.08.15.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-21.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.08.15.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-19.jpg,2016,2,13,21,26,13,2016,2,16,19,Disneyland-2016-02|16,19.jpg,,,.jpg,Disneyland-2016-02-13 21.26.13.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-19.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 21.26.13.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-25.jpg,2016,2,13,16,45,39,2016,2,16,25,Disneyland-2016-02|16,25.jpg,,,.jpg,Disneyland-2016-02-13 16.45.39.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-25.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.45.39.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-24.jpg,2016,2,13,16,41,37,2016,2,16,24,Disneyland-2016-02|16,24.jpg,,,.jpg,Disneyland-2016-02-13 16.41.37.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-24.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.41.37.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-18.jpg,2016,2,13,15,50,10,2016,2,16,18,Disneyland-2016-02|16,18.jpg,,,.jpg,Disneyland-2016-02-13 15.50.10.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-18.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 15.50.10.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-26.jpg,2016,2,13,16,47,30,2016,2,16,26,Disneyland-2016-02|16,26.jpg,,,.jpg,Disneyland-2016-02-13 16.47.30.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-26.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 16.47.30.jpg
Disneyland-Pictures,Disneyland,Picture,Disneyland-2016-02|16-27.jpg,2016,2,13,17,55,6,2016,2,16,27,Disneyland-2016-02|16,27.jpg,,,.jpg,Disneyland-2016-02-13 17.55.06.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02|16-27.jpg,/Users/connorreed/Desktop/Images/iPhoto/Disneyland/Disneyland-Pictures/Disneyland-2016-02-13 17.55.06.jpg
