year,gp,date,player_name,fname,lname,team_abb,position,salary,contract_year,expires,opt,NTC,salary_counted,entered_name
2023,0,2023-01-27,Andrew Abbott,Andrew,Abbott,LAA,p,0.700,XXX,0,,,N,"Abbott, Andrew"
2023,0,2023-01-27,Mick Abel,Mick,Abel,BAL,p,0.700,XXX,0,,,N,"Abel, Mick"
2023,0,2023-01-27,C.J. Abrams,C.J.,Abrams,CLE,if,0.700,XXX,0,,,N,"Abrams, C.J."
2023,0,2023-01-27,Albert Abreu,Albert,Abreu,CLE,p,0.700,XXX,0,,,N,"Abreu, Albert"
2023,0,2023-01-27,Bryan Abreu,Bryan,Abreu,TB,p,0.700,XXX,0,,,N,"Abreu, Bryan"
2023,0,2023-01-27,Jose Abreu,Jose,Abreu,CHC,if,14.507,V,2023,,,Y,"Abreu, Jose"
2023,0,2023-01-27,Domingo Acevedo,Domingo,Acevedo,PHI,p,0.700,1st,0,,,N,"Acevedo, Domingo"
2023,0,2023-01-27,Maximo Acosta,Maximo,Acosta,PHI,if,0.700,XXX,0,,,N,"Acosta, Maximo"
2023,0,2023-01-27,Luisangel Acuna,Luisangel,Acuna,STL,if,0.700,XXX,0,,,N,"Acuna, Luisangel"
2023,0,2023-01-27,Ronald Acuna Jr.,Ronald,Acuna Jr.,TB,of,5.958,4th,0,,,Y,"Acuna, Ronald"
2023,0,2023-01-27,Willy Adames,Willy,Adames,CHW,if,1.362,3rd,0,,,N,"Adames, Willy"
2023,0,2023-01-27,Austin L. Adams,Austin L.,Adams,HOU,p,3.900,V,2023,,,Y,"Adams, Austin"
2023,0,2023-01-27,Jordyn Adams,Jordyn,Adams,TB,of,0.700,XXX,0,,,N,"Adams, Jordyn"
2023,0,2023-01-27,Jo Adell,Jo,Adell,HOU,of,0.700,XXX,0,,,N,"Adell, Jordan"
2023,0,2023-01-27,Aramis Ademan,Aramis,Ademan,LAD,if,0.700,XXX,0,,,N,"Ademan, Aramis"
2023,0,2023-01-27,Micker Adolfo,Micker,Adolfo,CHW,of,0.700,XXX,0,,,N,"Adolfo, Micker"
2023,0,2023-01-27,Jesus Aguilar,Jesus,Aguilar,WAS,if,5.991,CE,2024,,,Y,"Aguilar, Jesus"
2023,0,2023-01-27,Nick Ahmed,Nick,Ahmed,STL,if,9.000,V,2022,Yes,,Y,"Ahmed, Nick"
2023,0,2023-01-27,Keegan Akin,Keegan,Akin,CLE,p,0.700,XXX,0,,,N,"Akin, Keegan"
2023,0,2023-01-27,Hanser Alberto,Hanser,Alberto,SD,if,2.000,V,2022,Yes,,Y,"Alberto, Hanser"
2023,0,2023-01-27,Jose Albertos,Jose,Albertos,PIT,p,0.700,XXX,0,,,N,"Albertos, Jose"
2023,0,2023-01-27,Ozzie Albies,Ozzie,Albies,NYM,if,7.802,5th,0,,,Y,"Albies, Ozzie"
2023,0,2023-01-27,Jorge Alcala,Jorge,Alcala,SEA,p,0.700,XXX,0,,,N,"Alcala, Jorge"
2023,0,2023-01-27,Kevin Alcantara,Kevin,Alcantara,TB,if,0.700,XXX,0,,,N,"Alcantara, Kevin"
2023,0,2023-01-27,Sandy Alcantara,Sandy,Alcantara,HOU,p,1.295,2nd,0,,,N,"Alcantara, Sandy"
2023,0,2023-01-27,Sergio Alcantara,Sergio,Alcantara,NYM,if,0.715,2nd,0,,,N,"Alcantara, Sergio"
2023,0,2023-01-27,Tyler Alexander,Tyler,Alexander,SD,p,1.600,V,2023,,,Y,"Alexander, Tyler"
2023,0,2023-01-27,A.J. Alexy,A.J.,Alexy,PIT,p,0.700,XXX,0,,,N,"Alexy, A.J."
2023,0,2023-01-27,Anthony Alford,Anthony,Alford,TEX,of,0.700,1st,0,,,N,"Alford, Anthony"
2023,0,2023-01-27,Matthew Allan,Matthew,Allan,TOR,p,0.700,XXX,0,,,N,"Allan, Matthew"
2023,0,2023-01-27,Kolby Allard,Kolby,Allard,SF,p,2.091,4th,0,,,Y,"Allard, Kolby"
2023,0,2023-01-27,Austin Allen,Austin,Allen,HOU,c,4.500,V,2023,Yes,,Y,"Allen, Austin"
2023,0,2023-01-27,Greg Allen,Greg,Allen,HOU,of,1.754,4th,0,,,Y,"Allen, Greg"
