Team,Team Name,Seasons,W,L,Win%,W/Season,RF,RA,Run Diff,Division Titles (2003-2022),Wild Cards (2003-2020),Pennants (2003-2020),World Series (2003-2020)
TEX,Texas Rangers,20,1806,1437,0.5569,90.3,15895,14630,1265,6,2,0,0
COL,Colorado Rockies,20,1803,1439,0.5561,90.2,16416,14871,1545,8,2,1,1
TOR,Toronto Blue Jays,20,1768,1473,0.5455,88.4,15642,14229,1413,7,2,5,3
NYM,New York Mets,20,1748,1492,0.5395,87.4,14513,13502,1011,10,0,3,1
SEA,Seattle Mariners,20,1745,1498,0.5381,87.3,15157,13952,1205,7,0,2,1
TB,Tampa Bay Rays,20,1730,1511,0.5338,86.5,14736,12585,2151,4,1,3,0
SD,San Diego Padres,20,1724,1520,0.5314,86.2,14227,13305,922,2,3,0,0
BAL,Baltimore Orioles,20,1716,1527,0.5291,85.8,15291,14500,791,6,4,3,1
PIT,Pittsburgh Pirates,20,1687,1555,0.5204,84.4,14907,14375,532,6,2,1,1
LAD,Los Angeles Dodgers,20,1684,1556,0.5198,84.2,14265,13469,796,5,0,3,1
OAK,Oakland Athletics,20,1676,1568,0.5166,83.8,14937,14188,749,3,3,1,1
CHC,Chicago Cubs,20,1670,1571,0.5153,83.5,14634,14322,312,5,2,2,0
ARI,Arizona Diamondbacks,20,1666,1576,0.5139,83.3,14957,14429,528,5,2,2,1
MIA,Miami Marlins,20,1662,1578,0.5130,83.1,14449,13882,567,3,1,0,0
CHW,Chicago White Sox,20,1629,1611,0.5028,81.5,14795,14616,179,5,1,0,0
MIL,Milwaukee Brewers,20,1616,1624,0.4988,80.8,14067,14316,-249,4,1,0,0
BOS,Boston Red Sox,20,1604,1636,0.4951,80.2,15308,15433,-125,2,3,1,1
ATL,Atlanta Braves,20,1591,1650,0.4909,79.6,14137,14547,-410,6,2,1,0
LAA,Los Angeles Angels,20,1587,1653,0.4898,79.4,13908,14409,-501,3,0,1,0
CLE,Cleveland Guardians,20,1573,1668,0.4853,78.7,14702,14994,-292,5,1,1,1
CIN,Cincinnati Reds,20,1572,1670,0.4849,78.6,14561,14660,-99,2,0,0,0
NYY,New York Yankees,20,1555,1685,0.4799,77.8,14752,15125,-373,1,1,0,0
MIN,Minnesota Twins,20,1539,1701,0.4750,77.0,14570,15171,-601,6,0,0,0
HOU,Houston Astros,20,1515,1725,0.4676,75.8,13635,14575,-940,4,0,2,2
DET,Detroit Tigers,20,1494,1746,0.4611,74.7,14121,15509,-1388,2,0,0,0
KC,Kansas City Royals,20,1494,1746,0.4611,74.7,14311,15466,-1155,2,0,1,0
STL,St. Louis Cardinals,20,1493,1748,0.4607,74.7,13828,15037,-1209,0,2,1,1
SF,San Francisco Giants,20,1464,1776,0.4519,73.2,13611,15182,-1571,0,0,0,0
WAS,Washington Nationals,20,1424,1817,0.4394,71.2,13500,15341,-1841,1,1,2,2
PHI,Philadelphia Phillies,20,1381,1859,0.4262,69.1,13107,15376,-2269,0,0,0,0
