Draft Year,Draft,Overall,Round,Pick,Drafted By,Player,Pos,Teams Rostered,Seasons,First Year,Last Year,MLB,FanGraphs,X
2005,Summer,1,1,1,BAL,Anthony Reyes,SP,BAL: 2009-01-01 to 2010-01-01,2,2009,2010,435039,7105,search
2005,Summer,2,1,2,DET,Yhency Brazobán,SP,WAS: 2009-01-01 to 2014-01-01,6,2009,2014,430674,2150,search
2005,Summer,3,1,3,LAA,Kyle Davies,SP,"PIT: 2009-01-01 to 2010-01-01
STL: 2011-01-01 to 2017-01-01",9,2009,2017,434678,3642,search
2005,Summer,4,1,4,CHC,Huston Street,RP,"CHC: 2009-01-01 to 2010-01-01
DET: 2011-01-01 to 2011-01-01
NYM: 2012-01-01 to 2014-01-01
ATL: 2015-01-01 to 2015-01-01
PIT: 2016-01-01 to 2017-01-01",8,2009,2017,434718,8258,search
2005,Summer,5,1,5,TOR,Brandon McCarthy,SP,"HOU: 2009-01-01 to 2013-01-01
BAL: 2014-01-01 to 2016-01-01
PHI: 2018-01-01 to 2018-01-01",9,2009,2018,435221,4662,search
2005,Summer,6,1,6,CLE,Adam Miller,SP,HOU: 2009-01-01 to 2013-01-01,5,2009,2013,607036,,search
2005,Summer,7,1,7,TOR,Brian McCann,C,"TOR: 2009-01-01 to 2013-01-01
CHW: 2015-01-01 to 2015-01-01
PHI: 2016-01-01 to 2016-01-01
BOS: 2018-01-01 to 2018-01-01
BAL: 2019-01-01 to 2019-11-15
KC:  2020-04-01 to 2020-11-15",10,2009,2020,435263,4810,search
2005,Summer,8,1,8,TOR,Hayden Penn,SP,"PIT: 2009-01-01 to 2010-01-01
SF:  2011-01-01 to 2011-01-01
MIA: 2012-01-01 to 2012-01-01",4,2009,2012,435140,4893,search
2005,Summer,9,1,9,SEA,Noah Lowry,SP,NYY: 2009-01-01 to 2012-01-01,4,2009,2012,430161,1833,search
2005,Summer,10,1,10,NYM,Justin Upton,OF,"NYM: 2009-01-01 to 2010-01-01
CHW: 2011-01-01 to 2015-01-01
TOR: 2016-01-01 to 2016-01-01
COL: 2017-01-01 to 2017-01-01
LAA: 2019-01-01 to 2021-02-14
PIT: 2021-02-25 to 2021-09-10
PHI: 2021-09-18 to 2021-12-05",12,2009,2021,457708,5222,search
2005,Summer,11,1,11,ATL,Chuck James,SP,"PIT: 2010-01-01 to 2011-01-01
ARI: 2012-01-01 to 2012-01-01",3,2010,2012,460580,4886,search
2005,Summer,12,1,12,TOR,Billy Butler,1B,"TOR: 2009-01-01 to 2012-01-01
SD:  2013-01-01 to 2013-01-01
CLE: 2015-01-01 to 2017-01-01",8,2009,2017,456714,7399,search
2005,Summer,13,1,13,TOR,Dustin Pedroia,2B,"BAL: 2009-01-01 to 2012-01-01
COL: 2013-01-01 to 2014-01-01
ATL: 2016-01-01 to 2017-01-01
CLE: 2018-01-01 to 2019-01-01
PHI: 2019-11-15 to 2020-01-01",11,2009,2020,456030,8370,search
2005,Summer,14,1,14,LAA,Phil Hughes,SP,"LAA: 2009-01-01 to 2009-01-01
TOR: 2010-01-01 to 2010-01-01
CLE: 2011-01-01 to 2012-01-01
NYY: 2013-01-01 to 2015-01-01
SEA: 2016-01-01 to 2017-01-01
NYY: 2019-01-01 to 2019-11-15",10,2009,2019,461833,7450,search
2005,Summer,15,1,15,MIN,Jorge Cantú,2B,"WAS: 2009-01-01 to 2011-01-01
NYM: 2012-01-01 to 2012-01-01",4,2009,2012,408305,2521,search
2005,Summer,16,1,16,LAA,Howie Kendrick,2B,"LAA: 2009-01-01 to 2009-01-01
PHI: 2010-01-01 to 2011-01-01
TEX: 2012-01-01 to 2013-01-01
LAD: 2015-01-01 to 2017-01-01
TB:  2019-01-01 to 2019-01-01
TEX: 2019-11-15 to 2019-11-15
PHI: 2020-04-01 to 2021-12-05",11,2009,2021,435062,4229,search
2005,Summer,17,1,17,OAK,Gustavo Chacín,SP,OAK: 2009-01-01 to 2010-01-01,2,2009,2010,407860,2060,search
2005,Summer,18,1,18,CHC,Rich Hill,SP,"TEX: 2009-01-01 to 2010-01-01
WAS: 2011-01-01 to 2011-01-01
TEX: 2013-01-01 to 2013-01-01
TB:  2017-01-01 to 2018-01-01
MIN: 2019-11-15 to 2020-01-01
ATL: 2020-04-01 to 2020-11-15
MIN: 2021-04-04 to 2021-07-23
TOR: 2021-07-30 to 2021-12-05",9,2009,2021,448179,4806,search
2005,Summer,19,1,19,TEX,Brent Clevlen,OF,PHI: 2009-01-01 to 2012-01-01,4,2009,2012,459334,4863,search
2005,Summer,20,1,20,HOU,Ezequiel Astacio,SP,,,,,430586,2169,search
2005,Summer,21,1,21,STL,Daric Barton,1B,TEX: 2009-01-01 to 2014-01-01,6,2009,2014,435558,5928,search
2005,Summer,22,1,22,NYY,Chris Nelson,1B,"NYY: 2009-01-01 to 2013-01-01
MIL: 2014-01-01 to 2014-01-01",6,2009,2014,455126,8175,search
2005,Summer,23,1,23,ATL,Josh Willingham,OF,"MIN: 2009-01-01 to 2011-01-01
OAK: 2013-01-01 to 2014-01-01",5,2009,2014,425545,2103,search
2005,Summer,24,1,24,ATL,Lance Broadway,SP,ATL: 2009-01-01 to 2014-01-01,6,2009,2014,473560,9885,search
2005,Summer,25,1,25,TB,Gio Gonzalez,SP,"PIT: 2009-01-01 to 2016-01-01
LAA: 2017-01-01 to 2017-01-01
COL: 2019-01-01 to 2019-01-01
PIT: 2019-11-15 to 2020-01-01
TOR: 2020-04-01 to 2020-06-14
MIA: 2020-06-21 to 2020-11-15
MIN: 2021-03-30 to 2021-07-23
PHI: 2021-07-30 to 2021-12-05",12,2009,2021,461829,7448,search
2005,Summer,26,1,26,TB,Francisco Liriano,SP,"MIA: 2009-01-01 to 2010-01-01
SEA: 2011-01-01 to 2011-01-01
PIT: 2012-01-01 to 2012-01-01
ARI: 2013-01-01 to 2013-01-01
NYY: 2015-01-01 to 2017-01-01
WAS: 2019-11-15 to 2019-11-15
CLE: 2021-05-02 to 2021-12-05",10,2009,2021,434538,3201,search
2005,Summer,27,1,27,KC,Chad Orvella,RP,STL: 2009-01-01 to 2010-01-01,2,2009,2010,435378,5952,search
2005,Summer,28,1,28,SEA,Daniel Cabrera,SP,OAK: 2010-01-01 to 2011-01-01,2,2010,2011,425555,1931,search
