player_name,teams,end_year,start_year,years,pa,defense,position_adj,dWAR,park_wOBA,OPS_plus,wRC_plus,rAA,oWAR,replacement,noD_WAR,WAR
A.J. Ellis,Tex/,2019,2009,10,2953,-7.836,56.895,4.91,0.3102,95.0590,96.2976,-12.550,-1.26,84.37,12.87,12.08
A.J. Jimenez,ChA,2016,2016,1,68,-0.610,1.526,0.09,0.2483,71.1900,53.3700,-3.140,-0.31,1.94,0.04,-0.02
A.J. Pierzynski,Oak/,2016,2006,11,4672,-16.736,88.770,7.21,0.3009,86.4594,82.9321,-85.150,-8.51,133.49,13.71,12.04
A.J. Pollock,Cle,2019,2014,6,3478,45.198,3.045,4.83,0.3255,110.0916,111.6202,41.700,4.17,99.37,14.41,18.93
A.J. Reed,NYA,2016,2016,1,668,0.000,-18.018,-1.80,0.3277,115.2900,117.5300,11.600,1.16,19.09,1.27,1.27
Aaron  Cunningham,OAK,2009,2009,1,115,0.000,0.411,0.04,0.4049,144.1600,149.6700,6.560,0.66,3.29,1.03,1.03
Aaron Altherr,Phi/,2019,2016,3,627,8.405,-1.915,0.64,0.3171,103.9952,103.4029,2.230,0.22,17.91,1.82,2.66
Aaron Boone,BOS/,2008,2006,3,170,0.000,-0.786,-0.08,0.3537,108.6576,110.3734,2.080,0.21,4.86,0.62,0.62
Aaron Cunningham,Cin,2012,2011,2,418,-9.771,0.779,-0.90,0.3472,122.1958,121.7155,9.540,0.95,11.94,2.22,1.25
Aaron Guiel,SEA,2006,2006,1,3,0.000,0.011,0.00,0.6559,337.7100,323.0100,0.780,0.08,0.09,0.09,0.09
Aaron Hicks,Mia/,2019,2013,6,2243,52.345,-10.791,4.16,0.3111,98.8993,99.4769,-1.000,-0.10,64.09,5.23,10.47
Aaron Hill,NYA/,2017,2006,11,5876,6.952,20.852,2.78,0.3214,101.2508,100.6204,2.200,0.23,167.89,19.11,19.80
Aaron Judge,Bal,2019,2017,3,1401,46.664,-15.542,3.10,0.3830,147.7098,152.8481,78.000,7.80,40.03,10.25,14.91
Aaron Miles,Min/,2012,2006,7,1069,-4.487,4.078,-0.04,0.2617,57.8023,50.8449,-60.150,-6.02,30.54,-2.56,-3.01
Aaron Rowand,Hou/,2012,2007,6,2771,1.563,9.571,1.12,0.3137,89.3417,86.9271,-41.240,-4.13,79.17,4.74,4.90
Abraham Almonte,Min/,2018,2015,4,730,0.411,-7.418,-0.70,0.2679,71.6764,66.3427,-25.500,-2.55,20.86,-1.21,-1.17
Abraham Nunez,CIN/,2006,2006,2,493,0.000,1.761,0.18,0.2703,62.7000,57.1152,-24.530,-2.46,14.09,-0.88,-0.88
Abraham O. Nunez,Tex,2007,2007,1,109,0.000,0.389,0.04,0.3098,77.5200,78.8300,-2.800,-0.28,3.11,0.07,0.07
Adam Dunn,KC/A,2014,2007,6,3609,-46.787,-51.379,-9.82,0.3518,114.7887,117.5775,68.150,6.81,103.12,11.98,7.30
Adam Duvall,SF,2019,2015,5,2863,20.763,-22.026,-0.12,0.3036,96.6425,94.0071,-16.240,-1.63,81.80,4.35,6.43
Adam Eaton,Tex/,2019,2013,7,4226,93.718,-27.256,6.64,0.3126,101.3888,101.1581,5.110,0.51,120.74,9.86,19.23
Adam Everett,CHA/,2010,2006,4,1759,0.000,18.847,1.89,0.2768,64.3994,59.4343,-84.520,-8.46,50.26,-1.55,-1.55
Adam Frazier,ChA,2019,2017,3,522,-6.216,1.448,-0.48,0.3078,97.2476,95.8060,-2.300,-0.24,14.91,1.40,0.77
Adam Heether,LAA,2010,2010,1,165,0.000,0.589,0.06,0.3273,95.3500,95.3000,-0.890,-0.09,4.71,0.44,0.44
Adam Jones,LAA/,2019,2008,10,6192,0.750,-0.119,0.06,0.3300,109.6788,109.6448,61.990,6.19,176.91,23.87,23.94
Adam Kennedy,KC/C,2011,2006,6,2050,-2.670,7.671,0.50,0.2884,73.3033,70.6533,-67.930,-6.78,58.57,-0.16,-0.42
Adam LaRoche,LAN/,2014,2009,6,3002,17.584,-53.521,-3.59,0.3348,108.0123,107.6123,28.310,2.84,85.77,6.06,7.82
Adam Lind,LAN/,2018,2007,11,5718,-25.044,-90.066,-11.51,0.3373,111.8214,112.6508,78.950,7.88,163.37,15.21,12.71
Adam Melhuse,Phi,2007,2006,2,648,0.000,11.572,1.16,0.2926,74.9725,71.9588,-22.010,-2.20,18.52,0.81,0.81
Adam Moore,Sea,2012,2012,1,22,-0.315,0.537,0.02,0.1941,18.0800,7.4300,-2.220,-0.22,0.63,-0.10,-0.14
Adam Rosales,ChN/,2017,2010,4,829,-6.877,4.658,-0.22,0.2822,77.9048,73.2160,-23.810,-2.39,23.69,0.45,-0.24
Adam Stern,COL,2006,2006,1,466,0.000,1.664,0.17,0.2957,78.4800,74.6200,-13.720,-1.37,13.31,0.13,0.13
Adam Walker,NYA,2017,2017,1,81,-0.169,-2.109,-0.23,0.1236,-19.3800,-44.9700,-12.310,-1.23,2.31,-1.21,-1.23
Addison Russell,Tex/,2019,2016,4,2019,27.813,22.922,5.08,0.3045,95.7233,95.2790,-10.220,-1.02,57.69,7.04,9.82
Adeiny Hechavarria,SF,2019,2013,5,1548,11.594,13.168,2.47,0.2932,92.2233,86.8774,-20.810,-2.08,44.23,3.66,4.82
Adonis Garcia,StL,2018,2018,1,628,-8.070,2.446,-0.56,0.2905,86.7400,83.0800,-11.110,-1.11,17.94,0.93,0.12
Adrian Beltre,Sea/,2019,2006,13,8417,173.558,30.417,20.41,0.3179,98.7918,98.3488,-22.590,-2.26,240.49,24.83,42.19
Adrian Cardenas,ChA,2012,2012,1,176,-1.778,0.705,-0.11,0.2813,76.0400,71.3200,-5.510,-0.55,5.03,0.02,-0.15
Adrian Gonzalez,LAN/,2017,2007,11,7271,28.878,-125.641,-9.68,0.3610,126.6801,128.8972,230.570,23.05,207.74,31.26,34.15
Adron Chambers,Det,2014,2013,2,142,-0.102,-0.708,-0.08,0.3141,100.9761,101.2746,0.180,0.02,4.06,0.36,0.35
Akinori Iwamura,TB/O,2010,2008,3,1654,0.000,5.907,0.60,0.3334,99.5378,98.8241,-1.810,-0.18,47.26,5.14,5.14
Albert Almora,Hou,2019,2019,1,496,1.244,1.393,0.26,0.2758,75.3400,70.9300,-15.310,-1.53,14.17,0.03,0.15
Albert Pujols,Hou/,2019,2006,13,7243,21.430,-133.469,-11.20,0.3787,136.2383,139.0310,319.750,31.99,206.94,39.34,41.48
Alberto Callaspo,LAN/,2015,2006,10,4913,40.673,17.348,5.81,0.3172,96.8010,96.0313,-22.600,-2.27,140.37,13.50,17.57
Alcides Escobar,Min/,2018,2009,8,2840,10.076,33.445,4.35,0.2780,77.3987,72.0594,-83.030,-8.31,81.14,3.15,4.15
Aledmys Diaz,ChA,2019,2016,3,751,-7.410,7.960,0.06,0.2937,88.3473,84.9049,-11.910,-1.19,21.46,1.75,1.01
Alejandro de Aza,Det/,2017,2011,7,3372,-3.179,-17.706,-2.09,0.3023,92.4985,91.3704,-29.520,-2.95,96.34,4.91,4.60
Alejandro Machado,MIL,2009,2006,4,649,0.000,3.618,0.37,0.2910,67.1401,69.4874,-23.580,-2.36,18.54,-0.14,-0.14
Alen Hanson,ChN,2019,2016,4,1322,0.184,4.803,0.50,0.2938,92.5514,86.5222,-18.340,-1.83,37.77,2.43,2.45
Alex Avila,ChA/,2019,2013,7,2801,-10.147,33.878,2.37,0.3104,97.4391,99.4455,-1.730,-0.16,80.03,11.23,10.22
Alex Bregman,ChN,2018,2017,2,1341,-14.444,12.536,-0.19,0.3312,113.2710,113.9050,19.490,1.95,38.31,7.03,5.59
Alex Castellanos,Bal/,2016,2013,2,513,-10.541,0.515,-1.00,0.3345,118.4355,123.0319,11.680,1.16,14.66,2.68,1.62
Alex Cintron,KC/K,2010,2006,5,636,0.000,5.458,0.55,0.2676,59.5898,52.7854,-35.670,-3.57,18.17,-1.21,-1.21
Alex Cora,MIN/,2009,2006,4,613,0.000,2.668,0.27,0.3024,77.1704,74.5693,-18.480,-1.85,17.51,0.17,0.17
Alex Dickerson,Hou/,2019,2016,4,1016,-22.870,-13.206,-3.61,0.3132,99.1746,99.9729,-0.170,-0.02,29.03,1.56,-0.73
Alex Gonzalez,MIL/,2008,2006,4,917,0.000,9.761,0.98,0.3458,105.5978,105.4442,5.520,0.55,26.20,4.15,4.15
Alex Gordon,KC/M,2019,2007,12,7232,197.402,-38.026,15.94,0.3231,101.7179,102.8401,24.610,2.46,206.63,19.32,39.06
Alex Guerrero,SF,2017,2015,3,1190,-8.187,1.552,-0.66,0.2799,80.4881,76.9244,-27.230,-2.72,34.00,0.84,0.02
