player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
A.J. Burnett,Sea/Det/Cle/BOS/PIT,2016,2005,12,2218.7,7.87,3.31,2.42,0.97,4.028,4.011,96.92,24.76,4.484,4.467,107.85,12.90
A.J. Cole,Hou/ChN,2020,2014,4,488.7,7.75,2.93,2.99,1.18,4.170,4.192,109.44,2.08,3.901,3.926,102.39,3.97
A.J. Griffin,Mia,2014,2013,2,335.3,7.11,2.33,3.06,1.10,3.988,3.975,103.83,2.51,4.538,4.523,117.87,0.36
A.J. Minter,NYA,2020,2015,4,166.3,10.82,2.92,4.55,1.14,3.445,3.411,88.05,1.44,3.139,3.108,80.23,2.10
A.J. Murray,OAK,2010,2010,1,90.0,4.30,4.10,1.05,0.80,4.788,4.788,112.27,-0.33,4.200,4.200,98.50,0.30
A.J. Puk,Det,2020,2015,2,55.4,8.46,6.18,1.37,0.33,3.832,3.806,98.37,0.56,2.280,2.265,58.53,1.76
A.J. Ramos,Was/Pit,2018,2014,5,286.3,9.90,4.75,2.10,0.66,3.546,3.571,94.39,1.59,4.118,4.148,109.71,-0.53
Aaron Barrett,Atl,2019,2015,5,332.4,8.86,3.85,2.37,1.14,4.165,4.179,109.96,-0.72,4.576,4.591,120.45,-2.41
Aaron Blair,Cin,2018,2018,1,156.0,7.56,2.89,2.62,1.33,4.346,4.331,113.89,0.43,4.670,4.655,122.39,-0.18
Aaron Bummer,LAN,2020,2015,3,113.7,8.08,2.38,3.39,1.19,3.921,3.974,102.50,0.17,4.119,4.174,107.64,-0.13
Aaron Cook,LAD/LAN/Tam/LA,2011,2005,7,1419.4,3.54,2.52,1.43,0.88,4.613,4.678,107.88,7.66,4.376,4.438,102.41,11.69
Aaron Crow,Hou/Cle,2017,2013,5,265.3,7.56,3.60,2.13,0.88,3.998,4.060,107.51,-0.25,4.138,4.202,110.78,-0.69
Aaron Fultz,CLV/BAL,2008,2005,4,298.6,5.54,3.62,1.54,0.81,4.472,4.450,98.57,0.98,4.159,4.140,91.59,2.06
Aaron Harang,Phi/Det/MIL/TOR/ANA/LAA,2016,2005,12,2098.5,6.51,2.55,3.17,1.10,4.254,4.269,103.38,15.47,4.573,4.591,110.82,7.93
Aaron Heilman,Det/CHA/NYM/NYN,2011,2005,7,642.1,7.50,4.04,1.87,0.76,4.041,4.082,94.66,4.72,4.149,4.192,97.82,3.89
Aaron Laffey,CHA/PHI/LAD/LAN,2010,2005,5,531.3,4.20,3.25,1.31,0.95,4.829,4.832,110.59,2.12,5.113,5.114,117.49,0.70
Aaron Loup,LAN/Mil,2020,2014,7,423.7,8.65,2.87,3.24,0.72,3.287,3.266,86.28,4.04,3.291,3.272,86.47,4.03
Aaron Nola,Cle/SD,2020,2015,6,872.3,8.31,1.93,4.69,0.83,3.194,3.251,85.70,14.89,3.386,3.447,90.80,12.65
Aaron Poreda,Tam/Ari/SD,2015,2009,4,333.6,6.18,3.80,1.79,0.81,4.335,4.417,104.91,1.83,4.018,4.096,97.02,3.15
Aaron Rakers,TB,2006,2006,1,78.0,9.23,3.69,2.50,1.96,5.203,5.292,122.24,-0.68,6.230,6.336,146.36,-1.61
Aaron Sanchez,NYA,2020,2015,6,932.6,7.57,3.94,2.02,1.18,4.538,4.493,118.44,0.86,4.112,4.071,107.35,5.64
Aaron Sele,PHI/StL,2007,2005,3,404.3,4.96,3.23,1.55,0.78,4.452,4.480,97.50,4.11,4.588,4.616,100.68,3.53
Aaron Small,PIT,2006,2006,1,41.7,5.40,2.38,2.27,2.16,5.903,5.962,137.73,-0.68,7.990,8.071,186.44,-1.63
Aaron West,ChA,2018,2018,1,18.3,6.38,1.47,4.33,0.49,2.929,2.890,76.00,0.40,4.910,4.846,127.41,-0.06
Adalberto Mejia,Det,2019,2019,1,131.7,7.31,3.28,2.23,0.48,3.381,3.358,86.51,2.13,3.080,3.060,78.81,2.66
Adam Bernero,LAD,2008,2008,1,94.0,5.75,3.73,1.54,1.15,5.018,5.086,114.54,0.17,4.400,4.459,100.43,0.84
