Days Since,Date,Boulder Name,Area,Sub Area,V Grade,Euro Grade,Stars,Soft/Hard,Flash,Attempts,Minutes,Sessions,8a.nu Points,Final Time,Comment,FA,Athletic,Cruxy,Slopey,Crimpy,Sharp,Technical,Power,Endurance,Overhang,Vertical,Slab,Roof,Scary
307,2024-07-31,"""Log Jam""","""Sutton Pass""","""The Hydro Project""",3.0,"""6A""",50,,,2,5,1,402,13:35:00,"""DESCRIPTORS:

2 Attempts | 5 Minutes | 1 Sessions

Session #1 on 2024-07-31 at 13:30:00. 2 attempts, over 5 minutes. 
	Uhhh this was fine? I don't think I really understand why folks were losing their minds over this one.""",,,,,,,,,,,,,,
307,2024-07-31,"""Fantasies Apropos My Very Own Auto Da Fe""","""Sutton Pass""","""The Hydro Project""",9.0,"""7C""",70,"""SOFT""",,30,180,1,900,17:00:00,"""DESCRIPTORS:

30 Attempts | 180 Minutes | 1 Sessions

Session #1 on 2024-07-31 at 14:00:00. 30 attempts, over 180 minutes. 
	Really cool toehook move, only drawback was how wet and slimey the top holds were, but still one of the betters problems I've done. Thanks to Katie for the full body spot, good vibes, and telling me to try again when I thought I was toast.""",,,,,,,,,,,,,,
307,2024-07-31,"""The Ghost of Laszlo Jamf""","""Sutton Pass""","""West Forest""",7.0,"""7A+""",70,,,5,20,1,750,19:20:00,"""DESCRIPTORS:

5 Attempts | 20 Minutes | 1 Sessions

Session #1 on 2024-07-31 at 19:00:00. 5 attempts, over 20 minutes. 
	Wow I successfully kneebarred! Very easy kneebar but I'll take what I can get. Another really good one from the day out in Sutton with Katie. Not the prettiest rock, but insanely fun.""",,,,,,,,,,,,,,
310,2024-07-28,"""Jackpot Roof""","""Duncan""","""Upper Level""",5.0,"""6C""",60,,,2,5,1,602,12:50:00,"""DESCRIPTORS: OVERHANG |

2 Attempts | 5 Minutes | 1 Sessions

Session #1 on 2024-07-28 at 12:45:00. 2 attempts, over 5 minutes. 
	I came to Vancouver Island to go to Castle Rock.""",,,,,,,,,,"""OVERHANG""",,,,
310,2024-07-28,"""Accelerator""","""Duncan""","""Upper Level""",9.0,"""7C""",65,"""SOFT""",,15,60,1,900,14:15:00,"""DESCRIPTORS: ATHLETIC | CRIMPY | POWER | OVERHANG |

15 Attempts | 60 Minutes | 1 Sessions

Session #1 on 2024-07-28 at 13:15:00. 15 attempts, over 60 minutes. 
	Surprisingly did the jump move pretty quick....then spent a while falling on the 3rd move. Really cool problem and such a fun last move. My trick was to pinch the arete and jump to the hold straight up instead of the one further left.""",,"""ATHLETIC""",,,"""CRIMPY""",,,"""POWER""",,"""OVERHANG""",,,,
314,2024-07-24,"""Fantastic Mr. Fox""","""Squamish""","""Shannon Falls""",7.0,"""7A+""",55,,,10,60,1,750,16:30:00,"""DESCRIPTORS:

10 Attempts | 60 Minutes | 1 Sessions

Session #1 on 2024-07-24 at 15:30:00. 10 attempts, over 60 minutes. 
	Thought it was going to be a meme clkmb but was legitimately sustained and felt hard, or maybe I just felt weak""",,,,,,,,,,,,,,
317,2024-07-21,"""Spatula""","""Squamish""","""Furry Creek""",4.0,"""6B""",45,,"""FLASH""",1,1,1,550,11:46:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-07-21 at 11:45:00. 1 attempts, over 1 minutes. 
	After Top100-V2 failure on Panda Milk""",,,,,,,,,,,,,,
317,2024-07-21,"""The Reincarnation of Tim Doyle""","""Squamish""","""Porteau Cove""",4.0,"""6B""",45,,"""FLASH""",1,1,1,550,15:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-07-21 at 15:00:00. 1 attempts, over 1 minutes. 
	Pretty okay. Likely not worth the hike.""",,,,,,,,,,,,,,
317,2024-07-21,"""Ninja Flexoff""","""Squamish""","""Porteau Cove""",6.0,"""7A""",45,,,3,10,1,700,15:25:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2024-07-21 at 15:15:00. 3 attempts, over 10 minutes. 
	Took me a couple tries to figure out where I wanted my feet for the first move, fine after that.""",,,,,,,,,,,,,,
317,2024-07-21,"""The Golden Pinch""","""Squamish""","""Porteau Cove""",5.0,"""6C""",45,,"""FLASH""",1,1,1,650,17:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-07-21 at 17:00:00. 1 attempts, over 1 minutes. 
	Consolation after getting destroyed by Invincible. Another perfectly okay problem.""",,,,,,,,,,,,,,
367,2024-06-01,"""Slip n Slide""","""Tahoe""","""PCT Boulders""",6.0,"""7A""",55,,,3,10,1,700,17:10:00,"""DESCRIPTORS:

3 Attempts | 10 Minutes | 1 Sessions

Session #1 on 2024-06-01 at 17:00:00. 3 attempts, over 10 minutes. 
	TEDDY TURNED 32!! Fun heel/toehook cam thingy. Felt like an honorary Stevenson UCSC Freshman Class of 2010 alum hanging with Sage, Jolie, Teddy, Max, and Hanna. Go Slugs!""",,,,,,,,,,,,,,
377,2024-05-22,"""Deimos""","""Varazze""","""Potala""",5.0,"""6C""",45,"""SOFT""","""FLASH""",1,1,1,650,11:01:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-22 at 11:00:00. 1 attempts, over 1 minutes. 
	Logbook mission complete! Got spooked walking on the top of the boulder by a snake (the 2nd or 3rd in the last hour). I don't like snakes.""",,,,,,,,,,,,,,
377,2024-05-22,"""Thelma e Luise""","""Varazze""","""Potala""",4.0,"""6B""",40,,"""FLASH""",1,1,1,550,11:16:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-22 at 11:15:00. 1 attempts, over 1 minutes. 
	Shoes got muddy, climbing shoes don't work well when muddy.""",,,,,,,,,,,,,,
377,2024-05-22,"""Castor""","""Varazze""","""Potala""",5.0,"""6C""",50,,,3,15,1,600,12:30:00,"""DESCRIPTORS:

3 Attempts | 15 Minutes | 1 Sessions

Session #1 on 2024-05-22 at 12:15:00. 3 attempts, over 15 minutes. 
	Fun climbing to a weird mantle. I shuld have hopped down after that, but instead too it to the top, which started to get kind of scary between the mossy rock, the wet/dirty/slippery shoes, and the fear of taking a pretty big fall. Thankfully survived, and then had to do a weird pole slide down a tree to get off the boulder.""",,,,,,,,,,,,,,
377,2024-05-22,"""Dottor Violenza""","""Varazze""","""Cava""",5.0,"""6C""",40,"""SOFT""","""FLASH""",1,1,1,650,13:31:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-22 at 13:30:00. 1 attempts, over 1 minutes. 
	Very soft. I saw a Zuke lookalike cat which was nice.""",,,,,,,,,,,,,,
377,2024-05-22,"""Dottor Violenza Plus""","""Varazze""","""Cava""",6.0,"""7A""",40,"""SOFT""","""FLASH""",1,1,1,750,13:46:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-22 at 13:45:00. 1 attempts, over 1 minutes. 
	Almost softer than the normal version. Not sure if Varazze is super soft, or if it just feels super soft in comparison to Switzerland.""",,,,,,,,,,,,,,
377,2024-05-22,"""Apocalisse""","""Varazze""","""Futurama""",5.5,"""6C+""",35,"""SOFT""","""FLASH""",1,1,1,700,16:46:00,"""DESCRIPTORS:

1 Attempts | 1 Minutes | 1 Sessions

Session #1 on 2024-05-22 at 16:45:00. 1 attempts, over 1 minutes. 
	Pretty dumpy. Also somewhat wet. Was a mission to get here, and a calf burner to get out of here. Hauling a pad out would have been very miserable.""",,,,,,,,,,,,,,
380,2024-05-19,"""Mistero""","""Chironico""","""Hineruage""",6.0,"""7A""",60,"""HARD""",,5,30,1,700,15:30:00,"""DESCRIPTORS:

5 Attempts | 30 Minutes | 1 Sessions

Session #1 on 2024-05-19 at 15:00:00. 5 attempts, over 30 minutes. 
	A complete and total epic to find this boulder, including reparking like 3 times, and trying to trigger Conor's dormant 16 year old memory...then it ended up being harder than expected, but still pretty fun.""",,,,,,,,,,,,,,
