Estimated Date,Estimated Time,Boulder Name,Area,Sub Area,V Grade,Attempts,Minutes,Comment
2018-07-09,11:00:00,White Mazda Clan,Rocklands,Lower Pakhuis - Riverside,10.0,5,60,"""Felt like shit. British guys were back and they suck."""
2018-07-07,11:00:00,White Mazda Clan,Rocklands,Lower Pakhuis - Riverside,10.0,30,180,"""Fell after doing the last move and holding it"""
2018-07-05,16:00:00,Barracuda,Rocklands,8 Day Rain,11.0,10,30,"""Tried the initial move"""
2018-07-04,16:00:00,Eddy Would Go,Rocklands,de Pakhuys - Plateau,10.0,1,1,"""Wtf, that move is huuuuge"""
2018-07-04,16:00:00,The Good Seed,Rocklands,de Pakhuys - Plateau,8.0,2,5,"""Did the initial campus move, but then was stuck"""
2018-07-03,16:00:00,Pinotage Sit,Rocklands,Sassies,10.0,10,30,"""Tried briefly and couldn't get my heel up"""
2018-06-29,12:00:00,Ron Ron et Caramel,Rocklands,Kliphuis Campground - Campground,10.0,10,30,"""Only did the first move"""
2018-06-29,14:00:00,Ron Ron Ultramel,Rocklands,Kliphuis Campground - Campground,7.0,5,15,"""Couldn't figure out the first move"""
2018-06-28,16:00:00,The Red Piano,Rocklands,The Pass - Roadcrew,9.0,10,60,"""With 5 British? People"""
2018-06-23,15:00:00,White Mazda Clan,Rocklands,Lower Pakhuis - Riverside,10.0,15,45,"""Tried after Slaps for Nini"""
2018-06-22,17:00:00,Weichei,Rocklands,de Pakhuys - Plateau,10.0,15,45,"""Tried with Caitlin"""
2018-04-26,0:00:00,The Cotton Pony,Leavenworth,Icicle Canyon,10.0,,,"""Roughly 5 feet from sticking the dyno"""
2018-04-25,0:00:00,Mad Max,Leavenworth,Icicle Canyon,8.0,,,"""Day of Failure #2"""
2018-04-25,0:00:00,Right Angles,Leavenworth,Icicle Canyon,8.0,,,"""Day of Failure #1"""
2018-04-25,0:00:00,The White Arete,Leavenworth,Icicle Canyon,5.0,,,"""Day of Failure #4"""
2018-04-25,0:00:00,Thunderdome,Leavenworth,Icicle Canyon,9.0,,,"""Day of Failure #3"""
2018-04-24,0:00:00,Bootin Dookie,Leavenworth,Icicle Canyon,6.0,,,"""Mantle hurt my wrist"""
2018-04-24,0:00:00,One Summer,Leavenworth,Icicle Canyon,5.0,,,
2018-04-24,0:00:00,Resurrection,Leavenworth,Icicle Canyon,8.0,,,
2018-04-24,0:00:00,Twisted,Leavenworth,Icicle Canyon,7.0,,,"""With Jacob and Teddy, couldn't link"""
2018-04-23,0:00:00,The Coffee Cup,Leavenworth,Icicle Canyon,8.0,,,"""Second move hurt my wrist"""
