Year,Area,V Grade,Days,Sessions,Distinct Boulders,Completed,Flashed,Total Attempts,Total Minutes,Completion Rate,Success Rate,Flash Rate,Bounty Extra Soft,Soft,Hard,FA
All-Time,All Areas,All Grades,403,1232,1028,815,249,8499,36825,0.793,0.662,0.242,8,118,95,11
All-Time,All Areas,11.0,17,17,9,1,0,244,1105,0.111,0.059,0.000,0,0,0,0
All-Time,All Areas,10.0,61,69,42,12,0,874,3671,0.286,0.174,0.000,0,9,1,0
All-Time,All Areas,9.0,90,126,86,42,0,1473,6795,0.488,0.333,0.000,1,18,4,0
All-Time,All Areas,8.5,1,1,1,0,0,30,150,0.000,0.000,0.000,0,0,0,0
All-Time,All Areas,8.0,113,148,114,69,3,1375,6066,0.605,0.466,0.026,2,26,5,1
All-Time,All Areas,7.5,23,26,23,15,0,276,1235,0.652,0.577,0.000,0,3,2,0
All-Time,All Areas,7.0,126,162,125,100,10,1250,5683,0.800,0.617,0.080,4,17,11,2
All-Time,All Areas,6.0,141,182,156,132,23,1156,5637,0.846,0.725,0.147,0,19,19,4
All-Time,All Areas,5.5,15,20,18,16,7,111,366,0.889,0.800,0.389,0,4,3,0
All-Time,All Areas,5.0,111,143,132,117,33,723,2849,0.886,0.818,0.250,1,13,18,1
All-Time,All Areas,4.5,6,8,8,8,5,21,65,1.000,1.000,0.625,0,1,1,0
All-Time,All Areas,4.0,109,147,138,134,63,509,1915,0.971,0.912,0.457,0,5,16,0
All-Time,All Areas,3.5,3,5,5,5,4,9,19,1.000,1.000,0.800,0,0,1,0
All-Time,All Areas,3.0,75,89,84,79,43,287,864,0.940,0.888,0.512,0,2,7,0
All-Time,All Areas,2.0,40,44,42,41,23,99,295,0.976,0.932,0.548,0,0,5,1
All-Time,All Areas,1.0,19,21,21,21,17,28,42,1.000,1.000,0.810,0,0,1,2
All-Time,All Areas,0.0,21,24,24,23,18,34,68,0.958,0.958,0.750,0,1,1,0
Last 365,All Areas,All Grades,17,33,32,23,2,191,972,0.719,0.697,0.063,0,6,2,2
Last 365,All Areas,10.0,1,1,1,0,0,5,45,0.000,0.000,0.000,0,0,0,0
Last 365,All Areas,9.0,1,1,1,0,0,5,15,0.000,0.000,0.000,0,0,0,0
Last 365,All Areas,8.0,4,4,4,2,0,32,170,0.500,0.500,0.000,0,2,0,0
Last 365,All Areas,7.0,6,7,6,4,0,46,275,0.667,0.571,0.000,0,1,0,1
Last 365,All Areas,6.0,6,9,9,8,1,38,161,0.889,0.889,0.111,0,3,0,1
Last 365,All Areas,5.0,3,4,4,3,0,47,255,0.750,0.750,0.000,0,0,1,0
