Series ID,Team Name,Opponent Name,Series Wins,Series Losses,Advance Probability,Win in 3,Win in 4,Win in 5,Win in 6,Win in 7
ALCS,Chicago White Sox,Tampa Bay Rays,1,4,0.0%,,,,,
ALCS,Tampa Bay Rays,Chicago White Sox,4,1,100.0%,,,100.0%,,
ALDS1,Chicago White Sox,Oakland Athletics,3,2,100.0%,,,100.0%,,
ALDS1,Oakland Athletics,Chicago White Sox,2,3,0.0%,,,,,
ALDS2,Cleveland Indians,Tampa Bay Rays,1,3,0.0%,,,,,
ALDS2,Tampa Bay Rays,Cleveland Indians,3,1,100.0%,,100.0%,,,
ALWC,Baltimore Orioles,Cleveland Indians,0,1,0.0%,,,,,
ALWC,Cleveland Indians,Baltimore Orioles,1,0,100.0%,,,,,
NLCS,Arizona Diamondbacks,New York Mets,1,4,0.0%,,,,,
NLCS,New York Mets,Arizona Diamondbacks,4,1,100.0%,,,100.0%,,
NLDS1,Chicago Cubs,New York Mets,0,3,0.0%,,,,,
NLDS1,New York Mets,Chicago Cubs,3,0,100.0%,100.0%,,,,
NLDS2,Arizona Diamondbacks,Colorado Rockies,3,0,100.0%,100.0%,,,,
NLDS2,Colorado Rockies,Arizona Diamondbacks,0,3,0.0%,,,,,
NLWC,Arizona Diamondbacks,San Diego Padres,1,0,100.0%,,,,,
NLWC,San Diego Padres,Arizona Diamondbacks,0,1,0.0%,,,,,
WS,New York Mets,Tampa Bay Rays,4,3,100.0%,,,,,100.0%
WS,Tampa Bay Rays,New York Mets,3,4,0.0%,,,,,
