Team Name,Games Played,Division,W,L,Py Wins,Py Losses,ROS Win%,Mean Proj W,Mean Proj L,95th Pctile,75th Pctile,25th Pctile,5th Pctile,Win Div,Make Wild Card,Make LDS,Make LCS,Make WS,Win WS
New York Mets,162,NL East,103,59,102.6,59.4,.613,103.0,59.0,103.0,103.0,103.0,103.0,100.0%,0.0%,100.0%,58.8%,27.2%,13.2%
Philadelphia Phillies,162,NL East,79,83,77.1,84.9,.482,79.0,83.0,79.0,79.0,79.0,79.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Miami Marlins,162,NL East,77,85,76.9,85.1,.472,77.0,85.0,77.0,77.0,77.0,77.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Washington Nationals,162,NL East,71,91,65.4,96.6,.415,71.0,91.0,71.0,71.0,71.0,71.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Atlanta Braves,162,NL East,52,110,49.4,112.6,.344,52.0,110.0,52.0,52.0,52.0,52.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chicago Cubs,162,NL Central,94,68,96.5,65.5,.567,94.0,68.0,94.0,94.0,94.0,94.0,100.0%,0.0%,100.0%,41.2%,15.9%,6.2%
Pittsburgh Pirates,162,NL Central,90,72,92.3,69.8,.578,90.0,72.0,90.0,90.0,90.0,90.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
St. Louis Cardinals,162,NL Central,78,84,74.8,87.2,.473,78.0,84.0,78.0,78.0,78.0,78.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Milwaukee Brewers,162,NL Central,70,92,69.0,93.0,.430,70.0,92.0,70.0,70.0,70.0,70.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cincinnati Reds,162,NL Central,67,95,69.3,92.7,.418,67.0,95.0,67.0,67.0,67.0,67.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Colorado Rockies,162,NL West,107,55,101.2,60.8,.645,107.0,55.0,107.0,107.0,107.0,107.0,100.0%,0.0%,100.0%,57.2%,32.2%,18.0%
San Diego Padres,162,NL West,103,59,101.6,60.4,.628,103.0,59.0,103.0,103.0,103.0,103.0,0.0%,100.0%,54.5%,25.4%,15.6%,8.1%
Arizona Diamondbacks,162,NL West,95,67,95.5,66.5,.585,95.0,67.0,95.0,95.0,95.0,95.0,0.0%,100.0%,45.5%,17.4%,9.0%,3.8%
Los Angeles Dodgers,162,NL West,70,92,75.4,86.6,.467,70.0,92.0,70.0,70.0,70.0,70.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
San Francisco Giants,162,NL West,69,93,69.4,92.7,.433,69.0,93.0,69.0,69.0,69.0,69.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Tampa Bay Rays,162,AL East,107,55,109.7,52.3,.668,107.0,55.0,107.0,107.0,107.0,107.0,100.0%,0.0%,100.0%,64.8%,40.4%,25.1%
Baltimore Orioles,162,AL East,106,56,102.0,60.0,.625,106.0,56.0,106.0,106.0,106.0,106.0,0.0%,100.0%,58.5%,24.1%,15.2%,7.9%
Boston Red Sox,162,AL East,76,86,76.4,85.6,.486,76.0,86.0,76.0,76.0,76.0,76.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
New York Yankees,162,AL East,72,90,73.3,88.7,.459,72.0,90.0,72.0,72.0,72.0,72.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Toronto Blue Jays,162,AL East,59,103,64.9,97.1,.403,59.0,103.0,59.0,59.0,59.0,59.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chicago White Sox,162,AL Central,94,68,92.9,69.1,.574,94.0,68.0,94.0,94.0,94.0,94.0,100.0%,0.0%,100.0%,50.2%,19.9%,8.1%
Cleveland Indians,163,AL Central,86,77,91.6,71.4,.542,86.0,77.0,86.0,86.0,86.0,86.0,0.0%,100.0%,41.5%,11.1%,4.9%,1.7%
Detroit Tigers,162,AL Central,79,83,74.0,88.0,.484,79.0,83.0,79.0,79.0,79.0,79.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Kansas City Royals,162,AL Central,72,90,72.3,89.7,.454,72.0,90.0,72.0,72.0,72.0,72.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Minnesota Twins,162,AL Central,46,116,53.7,108.3,.338,46.0,116.0,46.0,46.0,46.0,46.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Oakland Athletics,162,AL West,91,71,93.4,68.6,.573,91.0,71.0,91.0,91.0,91.0,91.0,100.0%,0.0%,100.0%,49.8%,19.6%,7.9%
Seattle Mariners,163,AL West,85,78,82.4,80.6,.526,85.0,78.0,85.0,85.0,85.0,85.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Texas Rangers,162,AL West,84,78,83.3,78.8,.539,84.0,78.0,84.0,84.0,84.0,84.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Los Angeles Angels,162,AL West,82,80,75.0,87.0,.488,82.0,80.0,82.0,82.0,82.0,82.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Houston Astros,162,AL West,67,95,69.7,92.3,.437,67.0,95.0,67.0,67.0,67.0,67.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
