player_name,PitchingLine,role,spWAR,rpWAR,ovr,adj,T,stam,#pit,gb%,FIP-,vsR_FIP-,vsL_FIP-,team_abb
A.J. Blubaugh,"SP, 43 ovr / 20 adj (47 stam, 3 pit) 44 GB% | 191 vsR | 184 vsL | 189 FIP-",SP,-3.6,-1.6,43.0,20,R,47.0,3,44.0,189.0,191.0,184.0,LAD
A.J. Minter,"RP, 55 ovr / 43 adj (13 stam, 2 pit) 47 GB% | 98 vsR | 90 vsL | 96 FIP-",RP,0.0,0.6,55.0,43,L,13.0,2,47.0,96.0,98.0,90.0,SF
A.J. Puk,"RP, 58 ovr / 48 adj (17 stam, 5 pit) 43 GB% | 89 vsR | 72 vsL | 84 FIP-",RP,0.0,1.0,58.0,48,L,17.0,5,43.0,84.0,89.0,72.0,DET
Aaron Ashby,"SP, 48 ovr / 64 adj (34 stam, 5 pit) 64 GB% | 92 vsR | 67 vsL | 86 FIP-",SP,3.9,0.9,48.0,64,L,34.0,5,64.0,86.0,92.0,67.0,MIL
Aaron Bummer,"RP, 43 ovr / 49 adj (15 stam, 2 pit) 67 GB% | 86 vsR | 76 vsL | 83 FIP-",RP,0.0,1.0,43.0,49,L,15.0,2,67.0,83.0,86.0,76.0,SF
Aaron Civale,"SP, 49 ovr / 21 adj (58 stam, 2 pit) 42 GB% | 175 vsR | 133 vsL | 156 FIP-",SP,-1.5,-0.9,49.0,21,R,58.0,2,42.0,156.0,175.0,133.0,MIA
Aaron Nola,"SP, 54 ovr / 50 adj (74 stam, 3 pit) 49 GB% | 100 vsR | 120 vsL | 111 FIP-",SP,1.8,0.2,54.0,50,R,74.0,3,49.0,111.0,100.0,120.0,DET
Aaron Watson,"SP, 29 ovr / 20 adj (64 stam, 0 pit) 50 GB% | 303 vsR | 322 vsL | 315 FIP-",SP,-10.0,-3.7,29.0,20,R,64.0,0,50.0,315.0,303.0,322.0,NYM
Abner Uribe,"RP, 62 ovr / 58 adj (15 stam, 2 pit) 69 GB% | 54 vsR | 69 vsL | 62 FIP-",RP,0.0,1.7,62.0,58,R,15.0,2,69.0,62.0,54.0,69.0,BAL
Adam Kloffenstein,"RP, 42 ovr / 20 adj (46 stam, 1 pit) 56 GB% | 161 vsR | 189 vsL | 171 FIP-",RP,0.0,-1.2,42.0,20,R,46.0,1,56.0,171.0,161.0,189.0,
Adam Macko,"SP, 41 ovr / 20 adj (35 stam, 3 pit) 44 GB% | 180 vsR | 149 vsL | 171 FIP-",SP,-2.5,-1.2,41.0,20,L,35.0,3,44.0,171.0,180.0,149.0,CHW
Adam Mazur,"RP, 42 ovr / 20 adj (42 stam, 0 pit) 44 GB% | 152 vsR | 206 vsL | 172 FIP-",RP,0.0,-1.3,42.0,20,R,42.0,0,44.0,172.0,152.0,206.0,PHI
Adam Serwinowski,"SP, 37 ovr / 20 adj (52 stam, 2 pit) 56 GB% | 227 vsR | 221 vsL | 226 FIP-",SP,-5.7,-2.3,37.0,20,L,52.0,2,56.0,226.0,227.0,221.0,TOR
Adbert Alzolay,"SP, 49 ovr / 52 adj (31 stam, 3 pit) 47 GB% | 92 vsR | 145 vsL | 108 FIP-",SP,2.0,0.3,49.0,52,R,31.0,3,47.0,108.0,92.0,145.0,STL
Adley Rutschman,"RP, 55 ovr / 20 adj (19 stam, 0 pit) 50 GB% | 396 vsR | 398 vsL | 397 FIP-",RP,0.0,-4.8,55.0,20,R,19.0,0,50.0,397.0,396.0,398.0,MIN
Adonis Medina,"RP, 36 ovr / 20 adj (24 stam, 1 pit) 62 GB% | 158 vsR | 204 vsL | 179 FIP-",RP,0.0,-1.4,36.0,20,R,24.0,1,62.0,179.0,158.0,204.0,
Adrian Bohorquez,"SP, 33 ovr / 20 adj (50 stam, 0 pit) 46 GB% | 270 vsR | 265 vsL | 267 FIP-",SP,-7.9,-3.0,33.0,20,R,50.0,0,46.0,267.0,270.0,265.0,CHW
Adrian Houser,"SP, 47 ovr / 46 adj (53 stam, 0 pit) 55 GB% | 100 vsR | 140 vsL | 116 FIP-",SP,1.4,0.1,47.0,46,R,53.0,0,55.0,116.0,100.0,140.0,
