Name,Author,Other Authors,Published,Read,Pages,Genre,Sub Genre,Peak,Consistency,Timelessness,Desired Effects,Information Gain,Premise,Plot,Wit,Length Grade,Adjustment,Overall,ISBN,Open Library
Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,Dan Gardner,2015,2018,338,Mathematics,Psychology,60,70,70,70,80,70,,50,60,,66.8,9788375568882,OL18233878W
The Arm: Inside the Billion-Dollar Mystery of the Most Valuable Commodity in Sports,Jeff Passan,,2016,2017,193,Baseball,,65,70,60,65,70,65,70,65,70,,66.1,9780062400383,OL17358872W
The MVP Machine: How Baseball's New Nonconformists Are Using Data to Build Better Players,Ben Lindbergh,Travis Sawchik,2019,2019,384,Baseball,,80,60,60,60,70,70,,50,60,,65.5,9781549126352,OL21342037W
The Shift: The Next Evolution In Baseball Thinking,Russell Carleton,,2018,2020,368,Sports,Psychology,70,60,60,65,70,70,,50,60,,64.1,9781629375441,OL20169503W
The Extra 2%: How Wall Street Strategies Took a Major League Baseball Team from Worst to First ,Jonah Keri,,2011,2013,253,Baseball,Economics,70,70,60,60,60,70,70,50,50,,63.9,9780345517739,OL15976984W
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,,2014,2020,468,Mathematics,Psychology,70,60,60,60,65,65,,60,50,,62.6,9789863209119,OL17062668W
"Thinking, Fast and Slow",Daniel Kahneman,,2011,2021,528,Psychology,,65,60,65,60,70,70,,50,50,,62.6,9788483068618,OL15992072W
Scorecasting:The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias J. Moskowitz,L. Jon Wertheim,2011,2017,278,Sports,Psychology,60,70,65,65,70,60,,40,55,,62.2,9780307591791,OL15663815W
Moneyball: The Art of Winning an Unfair Game,Michael Lewis,,2004,2021,317,Sports,,65,65,65,60,60,70,60,40,60,,62.0,9780739308165,OL7944813W
Bringing Down The House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,,2002,2013,272,Biographical,Blackjack,60,60,70,60,50,70,70,50,60,,61.5,9780743530613,OL61394W
100 Essential Things You Didn't Know You Didn't Know,John D. Barrow,,2008,2013,304,Mathematics,,50,65,60,60,70,70,,70,50,,61.1,9780393072785,OL21023117W
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,,1985,2021,195,Philosophy,Psychology,70,60,65,60,60,60,60,45,50,,61.1,9783596242856,OL137916W
Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,,2016,2024,432,Economics,,65,60,65,55,55,70,70,45,55,,61.0,9788551004135,OL17940527W
Thinking Basketball,Ben Taylor,,2016,2020,180,Basketball,Psychology,70,50,60,50,70,70,,50,60,,60.5,9781532968174,OL20884767W
Grit,Angela Duckworth,,2016,2020,353,Psychology,,70,50,60,55,70,70,,50,40,,60.1,9781443442329,OL17361140W
The Only Rule Is It Has To Work: Our Wild Experiment Building a New Kind of Baseball Team,Ben Lindbergh,Sam Miller,2016,2016,350,Baseball,,50,70,70,50,55,60,70,60,50,,59.5,9781627795647,OL20028125W
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,Tom Griffiths,2016,2018,359,Computer Science,Psychology,65,55,50,70,70,70,,30,50,,59.2,9781480560406,OL17357767W
Starter Villain,John Scalzi,,2023,2023,280,Science Fiction,,60,60,60,55,30,70,60,55,50,,56.6,9781250341785,OL28851765W
How To Lie With Statistics,Darrell Huff,Irving Geis,1982,2013,142,Mathematics,Economics,40,60,60,60,70,55,,50,70,,56.1,9780141997971,OL2975846W
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,,1974,2025,141,Psychology,Sports,50,50,65,60,65,70,,30,55,,56.1,9780553209853,OL2619508W
Andy Roddick Beat Me with a Frying Pan: Taking the Field with Pro Athletes and Olympic Legends to Answer Sports Fans' Burning Questions,Todd Gallagher,,2007,2018,288,Sports,Comedy,30,80,60,50,60,60,,60,60,,55.5,9780307352804,OL9389854W
The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,,1975,2025,195,Computer Science,,55,45,60,60,70,70,,30,45,,55.5,9780132100694,OL3510570W
"Big Data Baseball: Math, Miracles, and the End of a 20-Year Losing Streak",Travis Sawchik,,2015,2015,256,Baseball,,60,60,50,50,60,60,60,40,40,,54.9,9781250094254,OL20005486W
The Big Short: Inside the Doomsday Machine,Michael Lewis,,2015,2021,291,Economics,,60,50,60,50,65,65,55,30,40,,54.8,9783593393575,OL15118378W
