name,year,est_year_watched,genre,sub_genre,movie_length,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
"""12 Angry Men""",1957,2012,"""drama""","""""",96,60,60,60,70,50,60,60,60,60,,60.0
"""127 Hours""",2010,2012,"""adventure""","""biography""",94,20,40,40,40,30,20,20,30,40,,31.7
"""1984""",1984,2017,"""sci-fi""","""""",113,40,30,60,60,40,20,30,40,30,,40.0
"""21""",2008,2009,"""drama""","""""",123,50,60,60,60,60,50,50,40,60,,55.0
"""21 Jump Street""",2012,2014,"""comedy""","""""",110,70,60,55,55,40,70,60,60,60,,59.6
"""22 Jump Street""",2014,2015,"""comedy""","""""",112,60,60,55,55,40,60,50,50,60,,55.4
"""300""",2006,2008,"""action""","""""",117,40,30,50,50,40,50,30,40,50,,41.7
"""42""",2013,2014,"""biography""","""sports""",128,60,60,60,60,60,60,40,40,60,,56.7
"""50 First Dates""",2004,2007,"""romantic comedy""","""""",99,40,50,30,40,30,50,50,40,40,,40.8
"""50/50""",2011,2012,"""drama""","""comedy""",110,50,30,50,50,40,40,30,40,50,,42.5
"""6 Days to Air-The Making Of South Park""",2011,2011,"""documentary""","""comedy""",42,70,70,70,60,60,70,70,70,70,,68.3
"""A Beautiful Mind""",2001,2014,"""biography""","""drama""",140,70,60,75,75,65,70,60,50,70,,66.7
"""A Clockwork Orange""",1971,2011,"""crime""","""drama""",136,60,35,60,60,40,50,50,30,50,,49.2
"""A Knight's Tale""",2001,2004,"""adventure""","""action""",132,65,65,65,65,40,65,65,40,60,,60.4
"""Accepted""",2006,2007,"""comedy""","""""",93,60,40,50,40,30,60,50,60,50,,49.2
"""Adult World""",2013,2015,"""comedy""","""""",97,60,50,40,40,40,50,60,60,50,,50.0
"""All the President's Men""",1976,2005,"""history""","""drama""",138,70,70,70,70,70,70,60,50,65,,67.1
"""Almost Famous""",2000,2007,"""comedy""","""drama""",162,60,45,55,65,50,50,40,20,55,,50.0
"""AlphaGo""",2017,2018,"""documentary""","""""",90,70,70,70,50,70,70,50,70,50,,65.0
"""Amelie""",2001,2010,"""romantic comedy""","""french""",129,60,50,50,50,30,50,40,20,50,,46.7
"""American History X""",1998,2010,"""crime""","""drama""",119,60,60,60,70,50,60,50,40,60,,57.5
"""An Inconvenient Truth""",2006,2006,"""documentary""","""""",96,50,50,50,50,70,60,40,40,50,,50.8
"""Anchorman: The Legend of Ron Burgundy""",2004,2008,"""comedy""","""""",94,60,60,50,30,30,60,60,55,60,,52.9
"""Angels & Demons""",2009,2011,"""mystery""","""""",138,30,40,40,30,50,30,20,20,40,,34.2
"""Angels in the Outfield""",1994,2002,"""fantasy""","""sports""",102,60,60,50,50,40,60,40,60,50,,53.3
