name,genre,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
"""30 For 30 Podcasts""","""Sports(Other)""",65,70,65,,65,65,30,70,70,,63.6
"""31 Thoughts: The Podcast""","""Sports(Hockey)""",65,40,60,,60,60,50,50,40,,53.6
"""Advanced Football Analytics""","""Sports(Football)""",50,50,65,,70,60,20,60,70,,55.5
"""Against the Rules with Michael Lewis""","""Economics/Psychology""",70,60,70,,70,70,40,70,70,,65.5
"""Ahead Of Their Time""","""Sports(Other)""",65,60,70,,50,50,40,70,60,,60.0
"""Bauer Bytes""","""Sports(Baseball)""",65,50,60,,50,50,30,40,65,,53.2
"""Bet The Process""","""Sports(Other)""",70,50,70,,70,60,20,50,65,,58.6
"""Biscuits: A Hockey Podcast""","""Sports(Hockey)""",55,40,45,,40,40,50,40,40,,44.5
"""Data Skeptic""","""Data Science""",60,25,60,,75,60,20,60,60,,51.4
"""Defensive Indifference: A 2080 Baseball Podcast""","""Sports(Baseball)""",55,25,50,,50,30,20,30,40,,39.1
"""Dray Day""","""Sports(Basketball)""",50,60,50,,40,60,50,60,40,,51.8
"""Driveline Baseball Podcast""","""Sports(Baseball)""",75,60,75,,75,70,30,50,70,,65.0
"""Dunc'd On Basketball NBA Podcast""","""Sports(Basketball)""",65,45,60,,65,65,30,50,40,,53.6
"""Effectively Wild: A FanGraphs Baseball Podcast""","""Sports(Baseball)""",70,40,60,,50,50,50,40,40,,51.8
"""ESPN: Behind The Dish with Keith Law""","""Sports(Baseball)""",50,35,50,,50,50,40,50,40,,45.5
"""FanGraphs Baseball""","""Sports(Baseball)""",65,60,70,,60,60,70,60,65,,64.1
"""FanGraphs Fantasy Baseball""","""Sports(Baseball)""",65,40,65,,55,55,35,40,30,,50.5
"""Freakonomics Radio""","""Economics/Psychology""",70,60,70,,70,70,40,50,70,,63.6
"""Fringe Average: Baseball Prospectus Podcast""","""Sports(Baseball)""",60,60,50,,60,50,50,50,50,,54.5
"""Full Account""","""Sports(Baseball)""",60,60,50,,40,50,20,60,60,,51.8
"""Hockey Graphs Podcast""","""Sports(Hockey)""",50,35,60,,60,50,20,50,50,,47.3
"""Hockey PDOcast""","""Sports(Hockey)""",65,65,70,,65,65,45,65,50,,62.7
"""Home Court Vantage Podcast""","""Sports(Basketball)""",50,50,70,,70,70,30,60,55,,56.8
"""IEEE Software's \On Computing""with Grady Booch""""""""","""Data Science""",40,40,40,,60,50,20,50,50,,42.7
"""In Play, Pod(cast)""","""Sports(Baseball)""",50,40,60,,60,50,30,40,50,,48.2
"""It Seemed Smart""","""Sports(Other)""",65,40,70,,50,50,50,50,60,,55.5
"""Linear Digressions""","""Data Science""",45,35,60,,70,60,40,55,55,,50.9
"""Measurables""","""Sports(Other)""",40,40,50,,50,40,20,40,50,,41.8
"""Mike Detective""","""Comedy""",65,65,70,,30,60,80,70,70,,64.5
"""MLB Pipeline""","""Sports(Baseball)""",55,40,60,,55,55,20,60,40,,49.1
