Name,First Aired,Genre,Sub Genre,Peak,Consistency,Timelessness,Desired Effects,Information Gain,Premise,Plot,Wit,Length Grade,Adjustment,Overall,IMDb,TMDb
Better Off Ted,2009,Comedy,,80,80,80,70,40,70,50,80,70,,71.2,tt1235547,7777
Game of Zones,2014,Animation,Sci-Fi & Fantasy,80,70,70,70,60,70,75,70,60,,70.9,tt10548670,114358
Tough Season,2013,comedy,,80,80,60,80,30,80,80,60,80,,70.7,tt3148832,
30 Rock,2006,Comedy,,75,70,70,70,40,65,65,70,70,,67.2,tt0496424,4608
The IT Crowd,2006,Comedy,,75,65,70,65,40,70,60,70,60,,65.5,tt0487831,2490
Joe Pera Talks With You,2018,Comedy,,60,75,65,75,60,60,,65,55,,65.3,tt8199790,79864
Silicon Valley,2014,Comedy,,80,50,60,70,65,70,50,70,60,,65.1,tt2575988,60573
Look Around You,2002,Comedy,,80,50,70,60,45,70,,70,70,,65.0,tt0358323,2494
The Good Place,2016,Sci-Fi & Fantasy,Comedy,70,60,65,65,50,70,70,60,70,,64.5,tt4955642,66573
Nathan For You,2013,Comedy,Documentary,65,60,70,65,40,80,,65,60,,63.7,tt2297757,58957
South Park,1997,Animation,Comedy,75,50,55,70,60,70,50,80,60,,63.7,tt0121955,2190
Brooklyn Nine Nine,2013,Comedy,Crime,70,75,60,70,40,60,50,70,60,,63.4,tt2467372,48891
"China, Illinois",2011,Animation,Comedy,75,60,65,70,30,70,50,70,70,,63.4,tt2058221,39680
Veep,2012,Comedy,War & Politics,70,60,60,65,50,65,65,70,60,,63.2,tt1759761,2947
Mr. Robot,2015,Crime,Drama,80,55,50,70,70,60,60,60,40,,62.9,tt4158110,62560
Sherlock,2010,Crime,"Drama, Mystery",75,50,60,65,65,65,65,65,40,,62.8,tt1475582,19885
Frisky Dingo,2006,Animation,Comedy,75,50,70,60,30,70,60,70,70,,62.2,tt0865409,1542
Atlanta,2016,Comedy,Drama,60,70,60,60,60,70,60,60,50,,62.0,tt4288182,65495
Bored To Death,2009,Comedy,"Crime, Mystery, Drama",65,65,65,65,40,65,65,70,40,,61.7,tt1255913,31078
Burning Love,2012,Comedy,,70,50,70,80,30,70,30,80,60,,61.7,tt2292621,44189
Futurama,1999,Animation,"Comedy, Sci-Fi & Fantasy",60,65,65,60,60,60,60,70,50,,61.7,tt0149460,615
Chappelle's Show,2003,Comedy,,65,55,70,65,50,60,,70,40,,61.2,tt0353049,713
The Boondocks,2005,Action & Adventure,"Comedy, Animation",60,60,65,65,50,65,65,65,50,,61.1,tt0373732,2604
Bob's Burgers,2011,Animation,Comedy,70,60,60,70,40,60,60,60,50,,60.7,tt1561755,32726
The Greatest Event In Television History,2012,Comedy,,70,60,65,65,30,80,,50,40,,60.7,tt2496468,120516
Blunt Talk,2015,Comedy,,65,55,65,60,50,65,55,70,55,,60.6,tt4197508,62238
Children's Hospital,2008,Comedy,,75,45,65,70,30,80,50,70,35,,60.5,tt1325113,41808
Parks And Recreation,2009,Comedy,,70,60,60,60,40,70,60,60,50,,60.5,tt1266020,8592
BBC Planet Earth,2006,Documentary,,70,50,60,60,80,60,,30,60,,60.3,tt0795176,1044
Metalocalypse,2006,Animation,Comedy,70,55,65,70,30,65,40,60,70,,59.8,tt0839188,653
ESPN 30 For 30 OJ-Made In America,2016,Documentary,,65,65,60,60,60,60,,30,60,,59.5,tt5275892,66738
Mike Tyson Mysteries,2014,Mystery,"Animation, Comedy",65,60,70,70,30,70,40,40,70,,59.3,tt3038546,61949
Rick And Morty,2013,Animation,"Comedy, Sci-Fi & Fantasy, Action & Adventure",70,55,60,60,60,60,50,50,50,,59.3,tt2861424,60625
The League,2009,Comedy,,75,45,60,60,30,75,60,60,60,,59.3,tt1480684,31497
New Girl,2011,Comedy,,60,65,60,60,40,60,60,60,60,,58.8,tt1826940,1420
Ted Lasso,2020,Drama,Comedy,60,60,55,65,40,70,55,60,60,,58.5,tt10986410,97546
What We Do in the Shadows,2019,Comedy,Sci-Fi & Fantasy,60,70,50,70,30,70,50,60,60,,58.5,tt7908628,83631
Barry,2018,Comedy,"Crime, Drama",65,55,60,65,40,60,60,60,50,,58.4,tt5348176,73107
Fleabag,2016,Comedy,Drama,70,60,50,60,40,50,65,60,60,,57.9,tt5687612,67070
Party Down,2009,Comedy,,65,60,60,65,40,50,50,60,50,,57.4,tt1073507,17287
Summer Heights High,2007,Comedy,,60,50,60,60,40,65,60,60,60,,57.1,tt0934320,15082
The Real Bros of Simi Valley,2017,Comedy,,75,50,45,65,30,70,40,60,70,,57.0,tt9434996,71249
Jury Duty,2023,comedy,,60,60,50,60,60,70,50,40,50,,56.8,tt0993818,6854
Check It Out With Dr. Steve Brule,2010,Comedy,,75,35,65,70,30,65,30,60,60,,56.6,tt1657563,32612
Wet Hot American Summer,2015,Comedy,,65,65,55,65,30,65,40,45,50,,56.1,tt4341500,61967
Freaks And Geeks,1999,Drama,Comedy,65,50,65,50,40,50,50,65,65,,56.0,tt0193676,2382
Arrested Development,2003,Comedy,,65,30,70,60,40,60,60,70,40,,55.9,tt0367279,4589
BBC Frozen Planet,2011,Documentary,,60,35,60,60,80,60,,30,60,,55.8,tt2092588,8724
BBC The Blue Planet,2001,Documentary,,60,35,60,60,80,60,,30,60,,55.8,tt0296310,13579
Action,2019,Documentary,Action & Adventure,60,60,50,50,60,60,,40,60,,55.5,tt9776008,93446
ESPN The Last Dance,2020,Documentary,,55,65,55,55,60,60,,30,50,,55.4,tt8420184,79525
Medical Police,2020,Comedy,,70,30,60,70,40,60,40,70,45,,55.4,tt9850952,95670
Squid Game,2021,Action & Adventure,"Mystery, Drama",50,65,55,60,40,60,70,45,50,,55.2,tt10919420,93405
Angry Boys,2011,Drama,Comedy,55,50,60,50,40,65,65,60,55,,55.0,tt1596589,32722
The Eric Andre Show,2012,Comedy,,70,40,60,70,30,70,,30,40,,54.7,tt2244495,56590
Wild Wild Country,2018,Documentary,Crime,55,40,55,60,70,70,,30,60,,54.7,tt7768848,77601
Documentary Now,2015,Comedy,,70,40,40,60,40,70,,70,40,,54.5,tt4677934,63593
Important Things,2009,Comedy,,50,60,55,50,50,50,,70,50,,53.9,tt1118038,7141
Pitch,2016,Drama,,60,50,40,70,45,70,70,30,40,,53.9,tt5500158,67147
Tom Goes To The Mayor,2004,Animation,Comedy,65,40,60,65,30,60,,40,60,,53.8,tt0425720,2718
Vice Principals,2016,Comedy,,60,50,55,65,30,70,50,30,65,,53.8,tt3766376,65150
Ugly Americans,2010,Animation,Comedy,55,55,55,60,30,60,50,55,60,,53.5,tt1621748,32351
Flight of the Conchords,2007,Comedy,,60,30,60,60,40,60,60,60,50,,53.2,tt0863046,2742
The Righteous Gemstones,2019,Comedy,Drama,60,60,40,60,40,60,50,50,45,,52.9,tt8634332,82782
Blue Mountain State,2010,Comedy,,65,35,60,60,30,60,40,50,60,,52.2,tt1344204,31941
Solar Opposites,2020,Comedy,"Animation, Sci-Fi & Fantasy",50,60,50,50,45,55,55,55,50,,52.2,tt8910922,97645
American Vandal,2017,Comedy,Crime,50,60,50,55,35,50,50,60,60,,51.8,tt6877772,73126
Da Ali G Show,2000,Comedy,Talk,65,30,55,60,30,60,,60,50,,51.8,tt0241088,4417
Kroll Show,2013,Comedy,,60,40,50,60,40,50,,50,60,,51.3,tt1981538,57607
Toast of London,2013,Comedy,,60,50,50,60,30,50,40,60,50,,51.2,tt2432604,61413
Unbreakable Kimmy Schmidt,2015,Comedy,,45,50,55,40,40,65,65,60,55,,51.1,tt3339966,61671
Archer,2009,Comedy,"Action & Adventure, Animation",70,45,40,50,40,50,50,60,40,,51.0,tt1486217,10283
NTSF SD SUV,2011,Comedy,Action & Adventure,55,40,50,60,30,65,40,60,50,,50.2,tt1783495,39106
Unsupervised,2012,Animation,Comedy,55,40,50,60,30,60,50,50,60,,50.2,tt2122954,42370
Trailer Park Boys,2001,Comedy,,60,30,50,60,40,60,50,60,30,,50.0,tt0290988,3796
Big Mouth,2017,Comedy,Animation,50,50,50,60,40,40,40,60,60,,49.8,tt6524350,74204
I Think You Should Leave With Tim Robinson,2019,Comedy,,70,30,50,50,30,50,,60,50,,49.7,tt10050772,88728
We Can Be Heroes,2005,Comedy,,45,40,50,60,30,60,60,60,50,,49.3,tt0425674,13676
The Increasingly Poor Decisions Of Todd Margaret,2010,Comedy,,50,40,50,50,30,60,60,60,50,,49.0,tt1695989,33858
Do You Want To See A Dead Body,2017,Comedy,,60,40,50,50,30,60,,50,40,,48.9,tt5771150,75143
Eastbound and Down,2009,Comedy,Drama,50,40,50,50,30,70,50,60,40,,48.8,tt0866442,8624
Betas,2013,Comedy,,50,45,50,40,50,50,40,50,60,,47.8,tt3012184,57284
Delocated,2009,Comedy,,50,50,40,55,30,60,45,55,35,,47.4,tt1299729,17425
Drunk History,2013,Comedy,Talk,50,40,50,40,60,50,,40,50,,47.4,tt2712612,56219
Garth Marenghi's Darkplace,2004,Comedy,"Mystery, Action & Adventure, Sci-Fi & Fantasy",50,50,40,60,30,40,40,60,60,,47.3,tt0397150,205
"Tim And Eric Awesome Show, Great Job!",2007,Comedy,,55,30,50,60,30,60,,40,40,,46.8,tt0912343,1229
Undeclared,2001,Comedy,,50,40,45,50,40,40,50,50,50,,45.9,tt0273028,3948
Jonah From Tonga,2014,Comedy,,45,40,45,50,40,50,,50,50,,45.5,tt3431720,61011
ESPN 30 For 30 Soccer Stories,2014,Documentary,,45,40,50,50,50,50,,30,40,,45.3,tt3460320,61761
The Franchise,2011,Documentary,Reality,45,45,40,50,40,60,,20,60,,44.7,tt1828919,39813
Aqua Teen Hunger Force,2000,Animation,Comedy,70,25,30,60,30,40,40,60,30,,44.6,tt0297494,251
Man Seeking Woman,2015,Comedy,,45,45,45,50,30,40,40,60,50,,44.6,tt4189492,61871
Workaholics,2011,Comedy,,45,50,50,50,30,60,30,30,40,,44.6,tt1610527,36994
BBC Human Planet,2011,Documentary,,55,25,50,30,70,40,,30,60,,44.5,tt1806234,32062
Chad And JT Go Deep,2022,Comedy,,50,40,40,60,30,40,30,50,60,,44.4,tt21261420,205798
Stella,2005,Comedy,,60,30,40,45,30,40,,50,60,,44.1,tt0443409,4670
Human Giant,2007,Comedy,,60,30,50,35,30,50,,50,30,,43.8,tt0876298,4714
Master of None,2015,Comedy,Drama,45,40,50,50,40,30,30,55,55,,43.8,tt4635276,64254
Louie,2010,Comedy,Drama,45,40,45,50,30,40,40,60,40,,43.4,tt1492966,32962
John Safran Vs. God,2004,Documentary,Comedy,40,40,40,40,50,60,,40,40,,43.2,tt0423675,10519
Community,2009,Comedy,,40,40,40,40,40,50,40,50,30,,41.2,tt1439629,18347
Entourage,2004,Comedy,Drama,40,30,40,40,30,40,30,40,30,,36.3,tt0387199,1940
