podcast_name,genre,peak_grade,consistency_grade,adjustment,overall_grade
"""30 For 30 Podcasts""","""Sports(Other)""",,,,0
"""31 Thoughts: The Podcast""","""Sports(Hockey)""",,,,0
"""Advanced Football Analytics""","""Sports(Football)""",,,,0
"""Baseball America""","""Sports(Baseball)""",,,,0
"""Bet The Process""","""Sports(Other)""",,,,0
"""Biscuits: A Hockey Podcast""","""Sports(Hockey)""",,,,0
"""Data Skeptic""","""Data Science""",,,,0
"""Defensive Indifference: A 2080 Baseball Podcast""","""Sports(Baseball)""",,,,0
"""Dray Day""","""Sports(Basketball)""",,,,0
"""Dunc'd On Basketball NBA Podcast""","""Sports(Basketball)""",,,,0
"""Effectively Wild: A FanGraphs Baseball Podcast""","""Sports(Baseball)""",,,,0
"""ESPN: Behind The Dish with Keith Law""","""Sports(Baseball)""",,,,0
"""FanGraphs Baseball""","""Sports(Baseball)""",75,60,,69
"""FanGraphs Fantasy Baseball""","""Sports(Baseball)""",,,,0
"""Fringe Average: Baseball Prospectus Podcast""","""Sports(Baseball)""",,,,0
"""Hardwood Homies NBA Draft Podcast""","""Sports(Basketball)""",,,,0
"""Hockey Graphs Podcast""","""Sports(Hockey)""",,,,0
"""Hockey PDOcast""","""Sports(Hockey)""",,,,0
"""Hockey Prospectus Radio""","""Sports(Hockey)""",,,,0
"""Home Court Vantage Podcast""","""Sports(Basketball)""",,,,0
"""IEEE Software's ""On Computing"" with Grady Booch""","""Data Science""",,,,0
"""In Play, Pod(cast)""","""Sports(Baseball)""",,,,0
"""Linear Digressions""","""Data Science""",,,,0
"""Measurables""","""Sports(Other)""",,,,0
"""Mike Detective""","""Comedy""",,,,0
"""MLB Pipeline""","""Sports(Baseball)""",,,,0
"""NFL: Game Theory and Money""","""Sports(Football)""",,,,0
"""Nothing But Nylon""","""Sports(Basketball)""",,,,0
"""Off The Charts Football Podcast""","""Sports(Football)""",,,,0
"""Off The Post""","""Sports(Hockey)""",,,,0
"""PFF Fantasy Football Podcast with Jeff Ratcliffe""","""Sports(Football)""",,,,0
"""Pitch Talks""","""Sports(Baseball)""",,,,0
"""Pitcher List Fantasy Baseball Podcast""","""Sports(Baseball)""",,,,0
"""Programming Throwdown""","""Data Science""",,,,0
"""R U Talkin' R.E.M. RE: ME?""","""Comedy""",,,,0
"""Sharp Football Analysis""","""Sports(Football)""",,,,0
"""Statcast Podcast""","""Sports(Baseball)""",,,,0
"""Stolen Signs""","""Sports(Baseball)""",,,,0
"""The Better Rivals 49ers Podcast""","""Sports(Football)""",,,,0
"""The Daily Fantasy Edge""","""Sports(Other)""",,,,0
"""The Football Analytics Show by The Power Rank""","""Sports(Football)""",,,,0
"""The Full 48""","""Sports(Basketball)""",,,,0
"""The Full 60""","""Sports(Hockey)""",,,,0
"""The GiveMeSport NBA Podcast""","""Sports(Basketball)""",,,,0
"""The Harvard Sports Analytics Podcast""","""Sports(Other)""",,,,0
"""The Lab""","""Sports(Basketball)""",,,,0
"""The Late-Round Podcast""","""Sports(Football)""",,,,0
"""The Lowe Post""","""Sports(Basketball)""",,,,0
"""The Motus Show""","""Sports(Other)""",,,,0
"""The PFF Forecast""","""Sports(Football)""",,,,0
"""The R^2 Podcast""","""Sports(Basketball)""",,,,0
"""The Sports Analytics Department""","""Sports(Other)""",,,,0
"""The Spotrac Podcast""","""Sports(Other)""",,,,0
"""The Stepien NBA Draft Podcast""","""Sports(Basketball)""",,,,0
"""The TSN Hockey Bobcast""","""Sports(Hockey)""",,,,0
"""The Wharton Moneyball Post Game Podcast""","""Sports(Other)""",,,,0
"""The Woj Pod""","""Sports(Basketball)""",,,,0
"""TSN Hockey Analytics""","""Sports(Hockey)""",,,,0
"""U Talkin' U2 To Me?""","""Comedy""",,,,0
"""Up And In: The Baseball Prospectus Podcast""","""Sports(Baseball)""",,,,0
"""Watch The Game: A Hockey Podcast""","""Sports(Hockey)""",,,,0
