estimated_date,author,topic,medium,source,quote
2013-04-13,"""Neil DeGrasse Tyson (@neiltyson)""","""Decision Making and Psychology""","""Twitter""",,"""When Students cheat on exams it's because our School System values grades more than Students value learning."""
2013-07-20,"""Patrick D (@FTFs_SnarkSD)""","""Sports(Hockey)""","""Twitter""",,"""The Cronin(sp?) article brought an interesting question? Is there such a thing as ""quality"" possession? The short answer is; at the nhl level, teams cannot sustain a higher quality possession game, relative to other teams. I think this phenomena is similar to goaltending talent, but for coaching. We don't observe a significant difference, because the overall high quality washes any difference in potential difference in skill. Coaches make sure to squeeze every ounce of quality out of possession. The high level washes out any potential advantage."""
2013-07-20,"""Dan Szymborski (@DSzymborski)""","""Decision Making and Psychology""","""Twitter""",,"""Your lottery ticket for tomorrow is a long shot, but it's still preferable to your losing lottery ticket from yesterday."""
2013-10-16,"""Andy Hart (@JumboHart)""","""Sports(Football)""","""Twitter""",,"""Bill Belichick on valuing depth. ""It's pretty important. You can't have a team without players."" #Patriots"""
2012-10-24,"""Hakim Givens (@illTortuga)""","""Comedy""","""Twitter""",,"""There are like 7 billion people in the world. So no, I would not say I just hit ""a lot"" of people with my truck, BEN. Calm the fuck down."""
2013-11-28,"""Derek Florko (@SaberCoach)""","""Decision Making and Psychology""","""Twitter""",,"""""Rule #1 of strategy,just because you got lucky on a stupid bet, it doesn't negate the fact that it was a stupid bet"" - Process not Result!!"""
2012-02-09,"""Adam Foster (@AdamWFoster)""","""Sports(Baseball)""","""Twitter""",,"""Every team uses sabermetrics. The difference is some teams make sabermetric decisions from the top down. Others don't."""
2013-07-13,"""Nate Usher (@thenatewolf)""","""Comedy""","""Twitter""",,"""Life is like soccer because my mom signed me up for it and expects me to try my best even though I hate fucking soccer."""
2013-11-29,"""Old Nick (@Megalodork)""","""Sports(Hockey)""","""Twitter""",,"""The only reason Brent Burns won't be on the Olympic team is they're afraid he might eat the medals."""
2013-11-12,"""Matt Meyers (@mtmeyers)""","""Sports(Baseball)""","""Twitter""",,"""Is there a weirder rule in sports than ""you can get first base by virtue of striking out on a pitch so bad the catcher couldn't catch it.""?"""
2013-02-25,"""Jeremiah St. Cyr (@MiahSaint)""","""Comedy""","""Twitter""",,"""Down on yourself for being lazy? Keep in mind the Greeks believed their GODS lived atop a very hikeable mountain and no one went to check."""
2013-09-15,"""Dan Szymborski (@DSzymborski)""","""Sports(Baseball)""","""Twitter""",,"""Christian Ponder's an accurate QB, it's just that the Viking playbook frequently has ""the ground"" as the primary receiver."""
2013-10-10,"""Driving Play (@DrivingPlay)""","""Sports(Hockey)""","""Twitter""",,"""First time I get to mention that a 1 goal game shouldn't end until the leading team kills all penalties on them."""
2013-10-12,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""MacLean and McLellan are both ex-Wings assistants. So no matter who wins tonight, they're both winners for getting out of Detroit in time."""
2013-10-12,"""randy turner (@randyturner15)""","""Sports(Hockey)""","""Twitter""",,"""Speaking of [Don] Cherry, why do people with closed minds aways have open mouths?"""
2013-10-12,"""Bonk's Mullet (@BonksMullet)""","""Sports(Hockey)""","""Twitter""",,"""Homeless people give Brent Burns money."""
2013-10-24,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Chara is the best defenseman in the NHL. He's also a piece of shit. Those things aren't unrelated."""
2013-11-03,"""Eugene Mirman (@EugeneMirman)""","""Comedy""","""Twitter""",,"""If you watch Eminem sing with the sound off, it looks like he's giving directions to a very hard to find place."""
2013-10-10,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Male pattern baldness? RT @SBNationNHL Ryan Getzlaf won't play tonight due to an upper-body injury. """
2014-01-04,"""Ike Barinholtz (@ikebarinholtz)""","""Decision Making and Psychology""","""Twitter""",,"""When someone says there's no global warming because it's cold out is like someone saying there's no world hunger because they just ate."""
2013-01-07,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Maybe someday people will realize Boston's success has more to do with employing a top-5 forward, dman and goalie than grit and toughness."""
2013-01-24,"""Dan Szymborski (@DSzymborski)""","""Sports(Baseball)""","""Twitter""",,"""If you really believe that steroids were the reason Bonds could pull a 101 MPH inside fastball foul into McCovey Cove, I can't help you."""
2013-10-01,"""Driving Play (@DrivingPlay)""","""Sports(Hockey)""","""Twitter""",,"""Fire alarm currently going off during the game in Edmonton. It saw terrible hockey being played in Alberta and immediately detected Flames."""
2013-12-31,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Highlight of the game so far has to be Matt Nieto yelling ""Daddy!"" while calling for the puck from Demers."""
2014-01-29,"""Corey Pronman (@coreypronman)""","""Sports(Hockey)""","""Twitter""",,"""Well on one hand, goaltenders likely will dictate who wins. On the other, nobody can predict accurately how they'll perform."""
2014-01-29,"""Patrick D (@FTFs_SnarkSD)""","""Sports(Hockey)""","""Twitter""",,"""We know teams that control a proportion of shots do well. Not teams that are coached to shoot more."""
2014-02-14,"""Jamie Woodham (@jwoodham)""","""Comedy""","""Twitter""",,"""DATING TIP: Put your arm around her. Then your other arm. Complete the tackle. 4th down now, they have to punt. Wait this might be football."""
2014-02-16,"""Rob Fee (@robfee)""","""Comedy""","""Twitter""",,"""When God closes a door, he opens a window. Our heating bill is outrageous & six raccoons got in last night. Please God, this has to stop."""
2014-02-21,"""Zero Indulgence (@ZeroIndulgence)""","""Sports(Hockey)""","""Twitter""",,"""This loss is solely on the Team USA management. They intentionally left superior offense at home in the name of ""grit."""""
2014-02-21,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Maybe Ryan/Yandle/Buff over Callahan/Orpik/Fowler wouldn't have been enough to beat Canada but it would have upped USA's odds for sure. I feel bad for Pavelski and Kessel but USA management completely deserves this for picking this team based on dreams and a grit fetish. ""We need role players, not one-dimensional scorers like Bobby Ryan!"" *scores zero even-strength goals against Russia, Finland and Canada*"""
2014-02-24,"""Cohen is a Ghost (@skullmandible)""","""Comedy""","""Twitter""",,"""mighty ducks goes ""intramural peewee champs"" to ""junior goddamn Olympics"" to ""jv-varsity scrimmage game"" which is an odd progression I think"""
2014-03-04,"""Scott Lucas (@scottrlucas)""","""Sports(Baseball)""","""Twitter""",,"""Via binomial distribution, probability of team with 87-win talent going 0-162: 0.0000000000000000000000000000000000000000000000000000667%  """
2014-03-09,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""Hopefully NYR getting to the SCF with all their small forwards would shut up the size and grit fetishists. But they'll just credit Girardi."""
2014-03-19,"""Tom Mantzouranis (@themantz)""","""Sports(Football)""","""Twitter""",,"""My rule proposal: The NFL has to rewrite the rule book entirely so that it's not so freaking stupid."""
2014-04-02,"""Chemmy (@felixpotvin)""","""Sports(Hockey)""","""Twitter""",,"""Here's the problem with guys like Simmons. Maybe Grabovski was worse than McClement last year. Things went back to normal this year. The analytics help us ignore short term blips and avoid tossing good players after a bad year to keep bad players who had a good year."""
2014-04-06,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""A pitcher's success is ALL about change in velocity from season to season (with some exceptions obviously). 1 mph = about .33 runs per 9."""
2014-04-17,"""HCol Rudy Kelly (@rudykelly)""","""Sports(Hockey)""","""Twitter""",,"""Patrick Marleau made a lot of money selling Girl Scout cookies this year, which is weird since he doesn't have any daughters #MarleauFacts"""
2014-04-20,"""Old Nick (@Megalodork)""","""Sports(Hockey)""","""Twitter""",,"""Mike Brown is a human weight vest and has turned the Sharks into world-class sprinters thanks to the effort of hauling him around. #1stStar"""
2014-05-08,"""Down Goes Brown (@DownGoesBrown)""","""Sports(Hockey)""","""Twitter""",,"""Leafs in Vegas: ""Hit me.""  ""Sir, this is blackjack and you're showing 27. Maybe try a new hand?""   ""No way, these cards are proven winners!"""""
2014-01-24,"""HCol Rudy Kelly (@rudykelly)""","""Sports(Hockey)""","""Twitter""",,"""Patrick Marleau wanted a cap hit of 6.66 because that's how many Sectaurs figures he owns (Pinsor is missing his arms)"""
2014-05-15,"""Steve Carter (@SteveCarterPP)""","""Sports(Baseball)""","""Twitter""",,"""'Stares at you when you aren't looking' is my 2nd fav. description of Hunter Pence. 1st is Bob Brenly's 'this guy makes coffee nervous'"""
2014-05-16,"""i respect all birds, all sizes (@AnthraxJones)""","""Sports(Hockey)""","""Twitter""",,"""if the Ducks acquire Nick Johnson, Bo Horvat, and Nino Neiderreiter they could have Nick Bonino on one line and Nick-Bo-Nino on another"""
2014-05-25,"""Patrick D (@FTFs_SnarkSD)""","""Sports(Hockey)""","""Twitter""",,"""Tore's work shows that if luck didn't exist (infinite games), winning would be; 65% shot close, 17% PP and PK, 7% Sh%, 6% Sv%, 5% other"""
2014-05-30,"""Driving Play (@DrivingPlay)""","""Sports(Hockey)""","""Twitter""",,"""According to Wikipedia, Pierre McGuire's dad was a car salesman for a time - I can only imagine...'This Ford's built in Oshawa, Ontario in a factory under the supervision of Jim Dunning, he's doing amazing work there w/ employee training'  """
2014-06-01,"""Corey Pronman (@coreypronman)""","""Sports(Hockey)""","""Twitter""",,"""Average goalies stop 91% of shots. Star goalies stop 92%. Vezina winners stop 93%. You won't statistically tell the difference in 7 games."""
2014-03-12,"""Brandon the Cow (@Brampersandon_)""","""Comedy""","""Twitter""",,"""""So your house contains how many square feet?""   ""About 3000.""   *you open the front door to see 1500 Lego men marching around aimlessly*"""
2014-06-05,"""Kid Ish (@kid_ish)""","""Sports(Hockey)""","""Twitter""",,"""the kings greatest victory is making the sharks, ducks, flames overreact to how they think LA won."""
2014-07-09,"""Fear the Fin (@fearthefin)""","""Sports(Hockey)""","""Twitter""",,"""The salary cap system is set up to take money out of Toews and Kane's pockets and put it into Bolland and Orpik's. $10.5mil/yr is more money than I can process but it's still less than Toews/Kane are worth to CHI and what superstars make in other sports. For everyone tweeting ""why did we have a lockout,"" this is exactly why. To ensure teams could keep paying stars less than they're worth."""
2013-11-07,"""Sage Boggs (@sageboggs)""","""Comedy""","""Twitter""",,"""Listen up, guys: Neil Diamond is the name of a famous American singer-songwriter but it's also a checklist for anyone about to propose"""
2014-07-25,"""Bridger Winegar (@bridger_w)""","""Comedy""","""Twitter""",,"""Libraries were a good start, but we really need to keep working on the number of places where people shouldn't be allowed to talk."""
2014-07-31,"""Eric Tulsky (@NHLEricT)""","""Sports(Hockey)""","""Twitter""",,"""It's funny how often anti-stat arguments end up with ""Oh yeah? Well stats don't account for [thing that's routinely analyzed with stats]!"""""
2014-08-04,"""DOCTOR Greg (@StatsInTheWild)""","""Sports(Other)""","""Twitter""",,"""The phrase ""advanced statistics"" means something very different in sports than in general."""
2014-09-10,"""Eric Tulsky (@NHLEricT)""","""Sports(Hockey)""","""Twitter""",,"""If the question is ""how'd the team do?"", look at the standings. If the question is ""how're they going to do?"", pay attention to Corsi."""
2014-09-13,"""Brandon McCarthy (@BMcCarthy32)""","""Sports(Football)""","""Twitter""",,"""Ok I'll arbitrarily set the football right here then we'll officially measure it to within a hundredth of an inch"""
2014-09-16,"""Ryan Walton (@RyanWaltonSBN)""","""Sports(Baseball)""","""Twitter""",,"""AJ Ellis said Zack Greinke's top three priorities in order are.... 1. Fantasy Football 2. Hitting 3. Pitching"""
2014-10-01,"""Andrew Gelman""","""Data Science""","""Conference""","""Brown Biostatistcs Seminar""","""Statisticians are bad mathematicians who get paid more."""
2014-10-05,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""Managers manage like gamblers gamble in a casino. And that's what builds casinos."""
2014-10-27,"""Dr. Steve Brule (@_Steve_Brule)""","""Comedy""","""Twitter""",,"""My grandpa Drambus has the heart of a lion, and a lifetime ban from the crounty zoo. #ForYourHeart"""
2014-10-31,"""Fred Delicious (@Fred_Delicious)""","""Comedy""","""Twitter""",,"""*there's a knock at Tony Hawk's door*   ""TRICK OR TREAT""   *Tony's eyes light up*   ""a trick eh?""   ""sir we just want candy""   ""TO THE HALF PIPE"""""
2015-01-10,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""If you want to be hired by a team, show them how to make money."""
2014-05-08,"""Jamie Jones (@JamieDMJ)""","""Comedy""","""Twitter""",,"""Sea lions are faster than humans on both land and sea, so if you face one in a triathlon, you really need to make up time on the cycling."""
2014-12-14,"""Liana Maeby (@lianamaeby)""","""Comedy""","""Twitter""",,"""It's a little weird that our society has agreed that the most binding form of contract is to write your name in a fancy way."""
2014-05-11,"""Chris Thayer (@ChrisThayerSays)""","""Comedy""","""Twitter""",,"""I'll bet my mom's up in heaven right now, smiling, thinking, ""Wow, it was really nice of them to let me out of hell for the day."""""
2014-05-19,"""Rob Fee (@robfee)""","""Comedy""","""Twitter""",,"""I wonder if Superman ever put glasses on Lois Lane's dog & she was like, ""I've never seen this dog before. Is this a new dog?"""""
2014-03-23,"""Brandon the Cow (@Brampersandon_)""","""Comedy""","""Twitter""",,"""""Kanye, some celebrity couples have names like Brangelina. What can we call u & Kim?"" ""Take 'K' from Kim & 'anye' from me. Call us 'Kanye'."""""
2014-09-07,"""Rachel Lichtman (@rachelichtman)""","""Comedy""","""Twitter""",,"""I support locally sourced organic cafes because food tastes best when prepared by a shitty drummer."""
2014-06-05,"""Sage Boggs (@sageboggs)""","""Comedy""","""Twitter""",,"""I keep a baseball bat under my bed in case someone tries to break in and pitch a no hitter"""
2015-02-21,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""One of the biggest overlooked areas in scouting is how the player trained. You won't find an area scouting sheet with notes for that."""
2015-03-13,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""If you ever have the chance to meet and talk to a smart person, do it. Don't be intimidated, but also don't waste their time."""
2015-03-14,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Historically, the MLB player's union has tended to take away $2 from draftees and minor leaguers so the established pros can make $1 more."""
