name,genre,seasons,episodes,episode_length,episodes_per_season,approx_runtime_hours,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
Better Off Ted,comedy,2,26,22,13.0,9.53,80,80,70,50,40,70,80,70,80,,71.2
Game of Zones,comedy,7,43,6,6.14,4.3,80,70,70,75,60,70,70,60,70,,70.9
Tough Season,comedy,2,25,6,12.5,2.5,80,80,80,80,30,80,60,80,60,,70.7
30 Rock,comedy,7,135,22,19.29,49.5,75,70,65,65,40,70,70,70,70,,67.2
The IT Crowd,comedy,4,24,22,6.0,8.8,75,65,70,60,40,65,70,60,70,,65.5
Joe Pera Talks With You,comedy,3,32,11,10.67,5.87,60,75,60,,60,75,65,55,65,,65.3
Silicon Valley,comedy,6,53,28,8.83,24.73,80,50,70,50,65,70,70,60,60,,65.1
Look Around You,comedy,1,15,6,15.0,1.5,80,50,70,,45,60,70,70,70,,65.0
The Good Place,comedy,4,52,22,13.0,19.07,70,60,70,70,50,65,60,70,65,,64.5
Nathan For You,comedy,4,32,22,8.0,11.73,65,60,80,,40,65,65,60,70,,63.7
South Park,comedy,25,316,22,12.64,115.87,75,50,70,50,60,70,80,60,55,,63.7
Brooklyn Nine Nine,comedy,8,152,22,19.0,55.73,70,75,60,50,40,70,70,60,60,,63.4
"China, Illinois",comedy,3,30,15,10.0,7.5,75,60,70,50,30,70,70,70,65,,63.4
Veep,comedy,7,65,29,9.29,31.42,70,60,65,65,50,65,70,60,60,,63.2
Mr. Robot,drama,4,45,44,11.25,33.0,80,55,60,60,70,70,60,40,50,,62.9
Sherlock,drama,4,14,90,3.5,21.0,75,50,65,65,65,65,65,40,60,,62.8
Frisky Dingo,comedy,2,25,12,12.5,5.0,75,50,70,60,30,60,70,70,70,,62.2
Atlanta,comedy,2,32,22,16.0,11.73,60,70,70,60,60,60,60,50,60,,62.0
Bored To Death,comedy,3,24,28,8.0,11.2,65,65,65,65,40,65,70,40,65,,61.7
Burning Love,comedy,3,42,12,14.0,8.4,70,50,70,30,30,80,80,60,70,,61.7
Futurama,comedy,8,132,22,16.5,48.4,60,65,60,60,60,60,70,50,65,,61.7
Chappelle's Show,comedy,2,26,22,13.0,9.53,65,55,60,,50,65,70,40,70,,61.2
The Boondocks,comedy,4,55,22,13.75,20.17,60,60,65,65,50,65,65,50,65,,61.1
Bob's Burgers,comedy,11,215,22,19.55,78.83,70,60,60,60,40,70,60,50,60,,60.7
The Greatest Event In Television History,comedy,1,4,22,4.0,1.47,70,60,80,,30,65,50,40,65,,60.7
Blunt Talk,comedy,2,20,30,10.0,10.0,65,55,65,55,50,60,70,55,65,,60.6
Children's Hospital,comedy,7,85,11,12.14,15.58,75,45,80,50,30,70,70,35,65,,60.5
Parks And Recreation,comedy,7,121,22,17.29,44.37,70,60,70,60,40,60,60,50,60,,60.5
BBC Planet Earth,documentary,2,17,48,8.5,13.6,70,50,60,,80,60,30,60,60,,60.3
Metalocalypse,comedy,4,61,13,15.25,13.22,70,55,65,40,30,70,60,70,65,,59.8
ESPN 30 For 30 OJ-Made In America,documentary,1,5,90,5.0,7.5,65,65,60,,60,60,30,60,60,,59.5
Mike Tyson Mysteries,comedy,4,40,11,10.0,7.33,65,60,70,40,30,70,40,70,70,,59.3
Rick And Morty,comedy,5,51,22,10.2,18.7,70,55,60,50,60,60,50,50,60,,59.3
The League,comedy,7,84,22,12.0,30.8,75,45,75,60,30,60,60,60,60,,59.3
New Girl,comedy,7,146,22,20.86,53.53,60,65,60,60,40,60,60,60,60,,58.8
Ted Lasso,comedy,3,34,31,11.33,17.57,60,60,70,55,40,65,60,60,55,,58.5
What We Do in the Shadows,comedy,4,40,24,10.0,16.0,60,70,70,50,30,70,60,60,50,,58.5
Barry,comedy,3,24,30,8.0,12.0,65,55,60,60,40,65,60,50,60,,58.4
Fleabag,comedy,2,12,25,6.0,5.0,70,60,50,65,40,60,60,60,50,,57.9
Party Down,comedy,3,26,3,8.67,1.3,65,60,50,50,40,65,60,50,60,,57.4
Summer Heights High,comedy,1,8,22,8.0,2.93,60,50,65,60,40,60,60,60,60,,57.1
The Real Bros of Simi Valley,comedy,2,14,13,7.0,3.03,75,50,70,40,30,65,60,70,45,,57.0
Jury Duty,comedy,1,8,11,8.0,1.47,60,60,70,50,60,60,40,50,50,,56.8
Check It Out With Dr. Steve Brule,comedy,4,20,11,5.0,3.67,75,35,65,30,30,70,60,60,65,,56.6
Wet Hot American Summer,comedy,2,16,28,8.0,7.47,65,65,65,40,30,65,45,50,55,,56.1
Freaks And Geeks,comedy,1,18,22,18.0,6.6,65,50,50,50,40,50,65,65,65,,56.0
Arrested Development,comedy,5,84,22,16.8,30.8,65,30,60,60,40,60,70,40,70,,55.9
BBC Frozen Planet,documentary,1,7,48,7.0,5.6,60,35,60,,80,60,30,60,60,,55.8
BBC The Blue Planet,documentary,1,8,48,8.0,6.4,60,35,60,,80,60,30,60,60,,55.8
Action,documentary,1,4,55,4.0,3.67,60,60,60,,60,50,40,60,50,,55.5
ESPN The Last Dance,documentary,1,10,50,10.0,8.33,55,65,60,,60,55,30,50,55,,55.4
Medical Police,comedy,1,10,24,10.0,4.0,70,30,60,40,40,70,70,45,60,,55.4
Squid Game,drama,1,9,54,9.0,8.1,50,65,60,70,40,60,45,50,55,,55.2
Angry Boys,comedy,1,12,22,12.0,4.4,55,50,65,65,40,50,60,55,60,,55.0
The Eric Andre Show,comedy,5,50,11,10.0,9.17,70,40,70,,30,70,30,40,60,,54.7
Wild Wild Country,documentary,1,6,65,6.0,6.5,55,40,70,,70,60,30,60,55,,54.7
Documentary Now,comedy,3,21,22,7.0,7.7,70,40,70,,40,60,70,40,40,,54.5
Important Things,comedy,2,17,22,8.5,6.23,50,60,50,,50,50,70,50,55,,53.9
Pitch,drama,1,10,44,10.0,7.33,60,50,70,70,45,70,30,40,40,,53.9
Tom Goes To The Mayor,comedy,2,30,12,15.0,6.0,65,40,60,,30,65,40,60,60,,53.8
Vice Principals,comedy,2,18,30,9.0,9.0,60,50,70,50,30,65,30,65,55,,53.8
Ugly Americans,comedy,2,31,22,15.5,11.37,55,55,60,50,30,60,55,60,55,,53.5
Flight of the Conchords,comedy,2,22,25,11.0,9.17,60,30,60,60,40,60,60,50,60,,53.2
The Righteous Gemstones,comedy,2,18,41,9.0,12.3,60,60,60,50,40,60,50,45,40,,52.9
Blue Mountain State,comedy,3,38,22,12.67,13.93,65,35,60,40,30,60,50,60,60,,52.2
Solar Opposites,comedy,3,27,22,9.0,9.9,50,60,55,55,45,50,55,50,50,,52.2
American Vandal,comedy,2,16,34,8.0,9.07,50,60,50,50,35,55,60,60,50,,51.8
Da Ali G Show,comedy,2,23,22,11.5,8.43,65,30,60,,30,60,60,50,55,,51.8
Kroll Show,comedy,3,30,22,10.0,11.0,60,40,50,,40,60,50,60,50,,51.3
Toast of London,comedy,3,22,22,7.33,8.07,60,50,50,40,30,60,60,50,50,,51.2
Unbreakable Kimmy Schmidt,comedy,4,45,25,11.25,18.75,45,50,65,65,40,40,60,55,55,,51.1
Archer,comedy,12,126,22,10.5,46.2,70,45,50,50,40,50,60,40,40,,51.0
NTSF SD SUV,comedy,3,37,11,12.33,6.78,55,40,65,40,30,60,60,50,50,,50.2
Unsupervised,comedy,1,10,22,10.0,3.67,55,40,60,50,30,60,50,60,50,,50.2
Trailer Park Boys,comedy,12,105,22,8.75,38.5,60,30,60,50,40,60,60,30,50,,50.0
Big Mouth,comedy,5,50,26,10.0,21.67,50,50,40,40,40,60,60,60,50,,49.8
I Think You Should Leave With Tim Robinson,comedy,3,18,17,6.0,5.1,70,30,50,,30,50,60,50,50,,49.7
We Can Be Heroes,comedy,1,6,28,6.0,2.8,45,40,60,60,30,60,60,50,50,,49.3
The Increasingly Poor Decisions Of Todd Margaret,comedy,3,18,22,6.0,6.6,50,40,60,60,30,50,60,50,50,,49.0
Do You Want To See A Dead Body,comedy,1,15,15,15.0,3.75,60,40,60,,30,50,50,40,50,,48.9
Eastbound and Down,comedy,4,28,28,7.0,13.07,50,40,70,50,30,50,60,40,50,,48.8
Betas,comedy,1,11,28,11.0,5.13,50,45,50,40,50,40,50,60,50,,47.8
Delocated,comedy,3,30,20,10.0,10.0,50,50,60,45,30,55,55,35,40,,47.4
Drunk History,comedy,6,71,22,11.83,26.03,50,40,50,,60,40,40,50,50,,47.4
Garth Marenghi's Darkplace,comedy,1,6,24,6.0,2.4,50,50,40,40,30,60,60,60,40,,47.3
