,,,,Last Updated:,21-Nov-16
Show_Name,Seasons,Episodes_per_Season,Episode_Length(Mins),Approx_Total_Runtime(Hours),Rating(20-80)
Silicon_Valley,3,10,28,14,80
zBetter_Off_Ted,2,13,22,9.533,80
Rick_And_Morty,2,11,22,8.067,80
zTough_Season,2,10,6,2,80
Sherlock,3,3,90,13.5,75
zFrisky_Dingo,2,13,12,5.2,75
Wet_Hot_American_Summer,1,8,28,3.733,75
zLook_Around_You,1,15,6,1.5,75
Bob's_Burgers,7,20,22,51.333,70
New_Girl,6,23,22,50.6,70
z30_Rock,7,19,22,48.767,70
zFuturama,7,18,22,46.2,70
Brooklyn_Nine_Nine,4,22,22,32.267,70
zBBC_Planet_Earth,2,11,48,17.6,70
zBored_To_Death,3,8,28,11.2,70
zBurning_Love,3,14,12,8.4,70
The_Greatest_Event_In_Television_History,1,4,22,1.467,70
South_Park,20,14,22,102.667,65
zParks_And_Recreation,7,17,22,43.633,65
Archer,7,13,22,33.367,65
zThe_League,7,12,22,30.8,65
zThe_Boondocks,4,13,22,19.067,65
Documentary_Now,2,14,22,10.267,65
Blunt_Talk,2,10,30,10,65
zChappelle's_Show,2,13,22,9.533,65
zChina_Illinois,3,10,15,7.5,65
The_Eric_Andre_Show,4,10,11,7.333,65
zFreaks_And_Geeks,1,18,22,6.6,65
Atlanta,1,10,22,3.667,65
Mr._Robot,2,11,44,16.133,60
zChildren's_Hospital,7,12,11,15.4,60
zUgly_Americans,2,15,22,11,60
Nathan_For_You,3,8,22,8.8,60
zThe_IT_Crowd,4,6,22,8.8,60
zBBC_Blue_Planet,1,8,48,6.4,60
zImportant_Things,2,8,22,5.867,60
zBBC_Frozen_Planet,1,7,48,5.6,60
zBetas,1,11,28,5.133,60
zDa_Ali_G_Show,2,6,22,4.4,60
zArrested_Development,4,17,22,24.933,55
Master_of_None,1,10,27,4.5,55
zAngry_Boys,1,12,22,4.4,55
Mike_Tyson_Mysteries,2,10,11,3.667,55
zSummer_Heights_High,1,8,22,2.933,55
Trailer_Park_Boys,10,8,22,29.333,50
Louie,5,13,22,23.833,50
zBlue_Mountain_State,3,13,22,14.3,50
zEastbound_and_Down,4,7,28,13.067,50
zNTSF_SD_SUV,3,12,11,6.6,50
zHuman_Giant,2,7,22,5.133,50
Check_It_Out_With_Dr._Steve_Brule,4,6,11,4.4,50
zWe_Can_Be_Heroes,1,6,28,2.8,50
zJonah_From_Tonga,1,6,22,2.2,50
zKroll_Show,3,10,22,11,45
Unbreakable_Kimmy_Schmidt,2,13,25,10.833,45
zFlight_of_the_Conchords,2,11,25,9.167,45
zUndeclared,1,17,22,6.233,45
Drunk_History,4,10,22,14.667,40
The_Increasingly_Poor_Decisions_Of_Todd_Margaret,3,6,22,6.6,40
zUnsupervised,1,10,22,3.667,40
zStella,1,10,22,3.667,40
zEntourage,8,12,25,40,35
Workaholics,6,12,22,26.4,35
Man_Seeking_Woman,2,10,22,7.333,35
zCommunity,6,18,22,39.6,30
zTim_And_Eric_Awesome_Show_Great_Job!,5,10,11,9.167,30
zBBC_Human_Planet,1,8,48,6.4,30
zJohn_Safran_Vs._God,1,8,22,2.933,30
